"NCT","title_old","key","title","notes","decision","n_include","n_exclude","n_maybe","n_decisions","to_screen","final_decision","final_decision_conflict"
"NCT01307761","An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules; An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules","rayyan-325727761","An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules; An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT01346709","Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe: Predicting Postoperative Pulmonary Complications in Europe: a 7-day Data Collection; Prospective; Observational Study; Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe","rayyan-325727763","Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe: Predicting Postoperative Pulmonary Complications in Europe: a 7-day Data Collection; Prospective; Observational Study; Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,prognosis,Validation,validation | USER-NOTES: {""Nicole""=>[""simple score; unclear if a multivariable model""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""Nicole""=>[""simple score; unclear if a multivariable model""]",2,0,1,2,0,"Include","Include"
"NCT01357057","Biological Markers in Patients Presenting Aneurism Coiling for Subarachnoid Hemorrhage; Admission Bio-clinical Score to Predict One-year Outcomes in Coiled Subarachnoid Hemorrhage (SAH)","rayyan-325727764","Biological Markers in Patients Presenting Aneurism Coiling for Subarachnoid Hemorrhage; Admission Bio-clinical Score to Predict One-year Outcomes in Coiled Subarachnoid Hemorrhage (SAH)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01364168","Prospective Cohort With Incident Stroke; Prospective Cohort With Incident Stroke","rayyan-325727765","Prospective Cohort With Incident Stroke; Prospective Cohort With Incident Stroke","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01369290","EEG Signal Processing as a Predictor of Antidepressant Response; Electroencephalography (EEG) Signal Processing","rayyan-325727766","EEG Signal Processing as a Predictor of Antidepressant Response; Electroencephalography (EEG) Signal Processing","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01392365","Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease; Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease","rayyan-325727768","Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease; Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: diagnosis,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01490541","; The Predictive Scores for Gastric Cancer in Gastric Intestinal Metaplasia (GIM) Patient: a Recommendation for Thai Population","rayyan-325727769","; The Predictive Scores for Gastric Cancer in Gastric Intestinal Metaplasia (GIM) Patient: a Recommendation for Thai Population","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01527396","Multi-center Prospective Observational Study for the Validation of Preoperative Low-risk Criteria for Lymph Node Metastasis in Endometrial Cancer; Prospective; Observational Study of Low-risk Criteria for Node Metastasis in Endometrial Cancer","rayyan-325727771","Multi-center Prospective Observational Study for the Validation of Preoperative Low-risk Criteria for Lymph Node Metastasis in Endometrial Cancer; Prospective; Observational Study of Low-risk Criteria for Node Metastasis in Endometrial Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,Validation,validation","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01587573","Pivotal Validation Study of Salivary Biomarkers for the Risk Stratification of Patients With Lesions Suspicious for Oral Squamous Cell Carcinoma; Developing an In-vitro Diagnostic Risk-Stratification Test for Oral Cancer","rayyan-325727772","Pivotal Validation Study of Salivary Biomarkers for the Risk Stratification of Patients With Lesions Suspicious for Oral Squamous Cell Carcinoma; Developing an In-vitro Diagnostic Risk-Stratification Test for Oral Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""a.barnett""=>""Excluded"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,Validation,validation | RAYYAN-EXCLUSION-REASONS: case-control | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]}","""Nicole""=>""Included"", ""a.barnett""=>""Excluded"", ""dn.borg""=>""Maybe"", ""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]",1,1,1,2,0,"Include","Include"
"NCT01609465","Prognostic Models for People With Stable Coronary Artery Disease; Prognostic Models for People With Stable Coronary Artery Disease","rayyan-325727773","Prognostic Models for People With Stable Coronary Artery Disease; Prognostic Models for People With Stable Coronary Artery Disease","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Validation,validation,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01617395","Integrating Genetic and Environmental Risk Scores Into an Algorithm to Predict Multiple Sclerosis Susceptibility; Relating Genetic and Environmental Risk Scores to Multiple Sclerosis Susceptibility","rayyan-325727774","Integrating Genetic and Environmental Risk Scores Into an Algorithm to Predict Multiple Sclerosis Susceptibility; Relating Genetic and Environmental Risk Scores to Multiple Sclerosis Susceptibility","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""a.barnett""=>""Excluded""} | RAYYAN-LABELS: prognosis,validation,multiple designs | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]}","""Nicole""=>""Included"", ""a.barnett""=>""Excluded"", ""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT01826760","Study of 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure Using Artificial Neural Network; Study of the Model to Predict 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure","rayyan-325727777","Study of 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure Using Artificial Neural Network; Study of the Model to Predict 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01873287","Predicting Persistent Postconcussive Problems in Pediatrics: A Clinical Prediction Rule Derivation and Validation Study; Predicting Persistent Postconcussive Problems in Pediatrics (5P)","rayyan-325727778","Predicting Persistent Postconcussive Problems in Pediatrics: A Clinical Prediction Rule Derivation and Validation Study; Predicting Persistent Postconcussive Problems in Pediatrics (5P)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development | USER-NOTES: {""Nicole""=>[""Have protocol published in bmj open""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""Nicole""=>[""Have protocol published in bmj open""]",2,0,0,2,0,"Include","Include"
"NCT01917461","Observational; Prospective Study to Evaluate Biomarkers as Indicators of Bacterial or Viral Infection During Acute Infectious Diseases; Observational; Prospective Clinical Study to Evaluate Biomarkers as Indicators of Acute Bacterial or Viral Infections","rayyan-325727781","Observational; Prospective Study to Evaluate Biomarkers as Indicators of Bacterial or Viral Infection During Acute Infectious Diseases; Observational; Prospective Clinical Study to Evaluate Biomarkers as Indicators of Acute Bacterial or Viral Infections","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnosis,diagnostic,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT02025699","Observational Multi-center; Prospective Study to Characterize Novel pathogen-and Host-related Factors in Hospitalized Patients and Patients on the Emergency Department Presenting With Lower Respiratory Tract Infections and/or Sepsis.; Prospective Study to Characterize Host-pathogen Related Factors in Hospitalized and ED Patients With LRTI and/or Sepsis","rayyan-325727784","Observational Multi-center; Prospective Study to Characterize Novel pathogen-and Host-related Factors in Hospitalized Patients and Patients on the Emergency Department Presenting With Lower Respiratory Tract Infections and/or Sepsis.; Prospective Study to Characterize Host-pathogen Related Factors in Hospitalized and ED Patients With LRTI and/or Sepsis","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnostic,development","""Nicole""=>""Included"", ""a.barnett""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02039622","Cardiovascular Toxicity Induced by Antitumoral Drugs: Risk Assessment and Early Diagnosis. CARDIOTOX Registry; Cardiovascular Toxicity Induced by Antitumoral Drugs: Risk Assessment and Early Diagnosis. CARDIOTOX Registry","rayyan-325727785","Cardiovascular Toxicity Induced by Antitumoral Drugs: Risk Assessment and Early Diagnosis. CARDIOTOX Registry; Cardiovascular Toxicity Induced by Antitumoral Drugs: Risk Assessment and Early Diagnosis. CARDIOTOX Registry","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02086136","Aortic Dissection Detection Risk Score Plus D-dimer in the Diagnostic Workup of Suspected Acute Aortic Dissection: a Prospective Multicenter Study; Aortic Dissection Detection Risk Score Plus D-dimer in Suspected Acute Aortic Dissection","rayyan-325727786","Aortic Dissection Detection Risk Score Plus D-dimer in the Diagnostic Workup of Suspected Acute Aortic Dissection: a Prospective Multicenter Study; Aortic Dissection Detection Risk Score Plus D-dimer in Suspected Acute Aortic Dissection","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: diagnosis,validation | USER-NOTES: {""Nicole""=>[""may be a conflict""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""Nicole""=>[""may be a conflict""]",2,0,0,2,0,"Include","Include"
"NCT02093247","; Characterize Novel Pathogen- and Host- Related Factors in Hospitalized Patients and Patients on the Emergency Department Presenting With Lower Respiratory Tract Infections and/or Sepsis","rayyan-325727787","; Characterize Novel Pathogen- and Host- Related Factors in Hospitalized Patients and Patients on the Emergency Department Presenting With Lower Respiratory Tract Infections and/or Sepsis","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: diagnosis,development | USER-NOTES: {""Nicole""=>[""look up the TAILORED-Treatment consortium"", ""https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-018-3300-9""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""Nicole""=>[""look up the TAILORED-Treatment consortium"", ""https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-018-3300-9""]",2,0,0,2,0,"Include","Include"
"NCT02210221","Collaborative European NeuroTrauma Effectiveness Research in TBI (CENTER-TBI); CENTER-TBI: Collaborative European NeuroTrauma Effectiveness Research in TBI","rayyan-325727790","Collaborative European NeuroTrauma Effectiveness Research in TBI (CENTER-TBI); CENTER-TBI: Collaborative European NeuroTrauma Effectiveness Research in TBI","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02278874","Development of Non-invasive Prenatal Diagnostic Test for Multiple Gestation Pregnancies Based on Fetal DNA Isolated From Maternal Blood; High Risk Multiple Gestation Study","rayyan-325727791","Development of Non-invasive Prenatal Diagnostic Test for Multiple Gestation Pregnancies Based on Fetal DNA Isolated From Maternal Blood; High Risk Multiple Gestation Study","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT02336828","Validation of Modified Early Warning Score (MEWS) in Predicting Outcomes in Clinical Oncology Ward Adult Patients; Validation of Modified Early Warning Score (MEWS) in Predicting Outcomes in Clinical Oncology Ward Adult Patients","rayyan-325727792","Validation of Modified Early Warning Score (MEWS) in Predicting Outcomes in Clinical Oncology Ward Adult Patients; Validation of Modified Early Warning Score (MEWS) in Predicting Outcomes in Clinical Oncology Ward Adult Patients","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,Validation | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:REVISIT LATER"", ""DECISION:INCLUDE""]}","""Nicole""=>""Excluded"", ""dn.borg""=>""Included"", ""Rex""=>[""DISCUSSED - DECISION:REVISIT LATER"", ""DECISION:INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT02341937","D-dimer and Pre-test Clinical Probability Score in Cancer Patients With Suspected Deep Vein Thrombosis of the Legs; D-dimer and Pre-test Clinical Probability Score in Cancer Patients With Suspected Deep Vein Thrombosis of the Legs","rayyan-325727793","D-dimer and Pre-test Clinical Probability Score in Cancer Patients With Suspected Deep Vein Thrombosis of the Legs; D-dimer and Pre-test Clinical Probability Score in Cancer Patients With Suspected Deep Vein Thrombosis of the Legs","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: diagnosis,validation,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02352207","Prospective Identification of Predictors of Neonatal Respiratory Distress for Newborns With Prenatally Diagnosed Congenital Lung Malformations : A Population-based; Nationally Representative Study; Risk Factors of Neonatal Respiratory Distress for Newborns With Prenatally Diagnosed Congenital Lung Malformations","rayyan-325727794","Prospective Identification of Predictors of Neonatal Respiratory Distress for Newborns With Prenatally Diagnosed Congenital Lung Malformations : A Population-based; Nationally Representative Study; Risk Factors of Neonatal Respiratory Distress for Newborns With Prenatally Diagnosed Congenital Lung Malformations","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,prognosis,Development,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT02439554","Risk Factors for Medium-term Adverse Outcomes and Predictive Modeling for Breast Cancer Patients; Risk Factors for Medium-term Adverse Outcomes and Predictive Modeling for Breast Cancer Patients","rayyan-325727796","Risk Factors for Medium-term Adverse Outcomes and Predictive Modeling for Breast Cancer Patients; Risk Factors for Medium-term Adverse Outcomes and Predictive Modeling for Breast Cancer Patients","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,validation,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02466854","Bleeding Complications in a Multicenter Registry of Patients Discharged With Diagnosis of Acute Coronary Syndrome and Underwent Percutaneous Coronary Intervention; Bleeding Complications in a Multicenter Registry of Patients Discharged With Diagnosis of Acute Coronary Syndrome","rayyan-325727798","Bleeding Complications in a Multicenter Registry of Patients Discharged With Diagnosis of Acute Coronary Syndrome and Underwent Percutaneous Coronary Intervention; Bleeding Complications in a Multicenter Registry of Patients Discharged With Diagnosis of Acute Coronary Syndrome","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02480452","Brain Lesions in Relation to Motor Profiles of Children With Cerebral Visual Impairment.; Brain Lesions in Relation to Motor Profiles of Children With Cerebral Visual Impairment.","rayyan-325727800","Brain Lesions in Relation to Motor Profiles of Children With Cerebral Visual Impairment.; Brain Lesions in Relation to Motor Profiles of Children With Cerebral Visual Impairment.","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development,multiple designs | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]}","""Nicole""=>""Excluded"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]",1,1,1,2,0,"Include","Include"
"NCT02546895","Prospective Registration of Head and Neck Cancer Patients for Clinical Data and Tissue Collection; Prospective Registration of Head and Neck Cancer","rayyan-325727802","Prospective Registration of Head and Neck Cancer Patients for Clinical Data and Tissue Collection; Prospective Registration of Head and Neck Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02581540","Mersey Acute Coronary Syndrome Rule-Out Using High Sensitive Troponin (MACROS) : A Comparison of Risk Scores in Consecutive; Unselected Chest Pain Presentations With Suspected Acute Coronary Syndrome in the Era of High Sensitive Troponin; Mersey Acute Coronary Syndrome Rule-Out Using High Sensitive Troponin","rayyan-325727803","Mersey Acute Coronary Syndrome Rule-Out Using High Sensitive Troponin (MACROS) : A Comparison of Risk Scores in Consecutive; Unselected Chest Pain Presentations With Suspected Acute Coronary Syndrome in the Era of High Sensitive Troponin; Mersey Acute Coronary Syndrome Rule-Out Using High Sensitive Troponin","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Prognosis,prognosis,validation,Development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT02658786","Cost Effective Non Invasive Diagnostic Modalities and Predictive Model for Development and Progression of Fibrosis Among Patients With Hepatitis B; Hepatitis C Infection or Non Alcoholic Fatty Liver Disease: A Hospital Based Retrospective Followed by Prospective Cohort Study; Cost Effective Non Invasive Diagnostic Modalities and Predictive Model for Development and Progression of Fibrosis Among Patients With Hepatitis B; Hepatitis C Infection or Non Alcoholic Fatty Liver Disease","rayyan-325727807","Cost Effective Non Invasive Diagnostic Modalities and Predictive Model for Development and Progression of Fibrosis Among Patients With Hepatitis B; Hepatitis C Infection or Non Alcoholic Fatty Liver Disease: A Hospital Based Retrospective Followed by Prospective Cohort Study; Cost Effective Non Invasive Diagnostic Modalities and Predictive Model for Development and Progression of Fibrosis Among Patients With Hepatitis B; Hepatitis C Infection or Non Alcoholic Fatty Liver Disease","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02668835","GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial; GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial","rayyan-325727809","GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial; GADGET-PD Genetic and Digital Diagnosis of Essential Tremor and Parkinson's Disease Trial","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development,multiple designs","""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT02757846","Quantitative Imaging for Evaluation of Response to Cancer Therapies; Radiomics of Hepatocellular Carcinoma","rayyan-325727811","Quantitative Imaging for Evaluation of Response to Cancer Therapies; Radiomics of Hepatocellular Carcinoma","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
