"key","title_old","key","title","notes","decision","n_include","n_exclude","n_maybe","n_decisions","to_screen","final_decision","final_decision_conflict"
"NCT01080157","An Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes; Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes","rayyan-325727754","An Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes; Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnosis,diagnostic,validation,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT01174901","Copeptin for Risk Stratification in Non-traumatic Headache in the Emergency Setting - The CoHead Study; Copeptin for Risk Stratification in Non-traumatic Headache in the Emergency Setting - The CoHead Study","rayyan-325727755","Copeptin for Risk Stratification in Non-traumatic Headache in the Emergency Setting - The CoHead Study; Copeptin for Risk Stratification in Non-traumatic Headache in the Emergency Setting - The CoHead Study","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,diagnostic,development | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION: EXCLUDE""]}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Included"", ""Rex""=>[""DISCUSSED - DECISION: EXCLUDE""]",1,2,0,3,0,"Exclude","Exclude"
"NCT01177774","Predictive Biomarkers of Conversion to Tourette Syndrome in Children With New-Onset Tics; Assessment of Children With Tic Onset in the Past 6 Months","rayyan-325727756","Predictive Biomarkers of Conversion to Tourette Syndrome in Children With New-Onset Tics; Assessment of Children With Tic Onset in the Past 6 Months","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: case-control,multiple variable model","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""",0,3,0,3,0,"Exclude","Exclude"
"NCT01291342","Detection and Identification of Preeclampsia Via Volatile Biomarkers; Detection and Identification of Preeclampsia Via Volatile Biomarkers","rayyan-325727757","Detection and Identification of Preeclampsia Via Volatile Biomarkers; Detection and Identification of Preeclampsia Via Volatile Biomarkers","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnostic,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT01293162","Study on the Role of a Combination of Nutraceuticals (Armolipid Prev) With an Effect on Blood Pressure and Lipids in the Control of Cardiovascular Risk; The Role of a Combination of Nutraceuticals in the Control of Cardiovascular Risk","rayyan-325727758","Study on the Role of a Combination of Nutraceuticals (Armolipid Prev) With an Effect on Blood Pressure and Lipids in the Control of Cardiovascular Risk; The Role of a Combination of Nutraceuticals in the Control of Cardiovascular Risk","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded""}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT01302626","Radiomics: a Prospective Study of Outcome in Lung Cancer; Radiomics: a Study of Outcome in Lung Cancer","rayyan-325727759","Radiomics: a Prospective Study of Outcome in Lung Cancer; Radiomics: a Study of Outcome in Lung Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development | USER-NOTES: {""Nicole""=>[""example of inadequate description of methods""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""Nicole""=>[""example of inadequate description of methods""]",2,0,0,2,0,"Include","Include"
"NCT01306188","Study of Prognostic Value of T Cell Receptor Diversity and CD4 Lymphopenia in First Relapse Breast or Lung Cancer Patients; Prognostic Value of Divpenia and CD4 Count in Relapsed Breast or Lung Cancer Patients","rayyan-325727760","Study of Prognostic Value of T Cell Receptor Diversity and CD4 Lymphopenia in First Relapse Breast or Lung Cancer Patients; Prognostic Value of Divpenia and CD4 Count in Relapsed Breast or Lung Cancer Patients","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded""}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT01307761","An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules; An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules","rayyan-325727761","An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules; An Easy Sonographic Scoring System for Predicting Malignant Thyroid Nodules","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: diagnosis,Diagnostic,Development,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""dn.borg""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT01320670","Neuroimaging Predictors of Treatment Failure in Adult New-onset Epilepsy; Neuroimaging Predictors of Treatment Failure in Adult New-onset Epilepsy","rayyan-325727762","Neuroimaging Predictors of Treatment Failure in Adult New-onset Epilepsy; Neuroimaging Predictors of Treatment Failure in Adult New-onset Epilepsy","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Maybe"", ""dn.borg""=>""Maybe""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""dn.borg""=>[""Prediction model part looks like its a future plan, not from the current study?""], ""Rex""=>[""DECISION: exclude""]}","""Nicole""=>""Excluded"", ""Rex""=>""Maybe"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Prediction model part looks like its a future plan, not from the current study?""], ""Rex""=>[""DECISION: exclude""]",0,1,2,1,1,"Exclude","Exclude"
"NCT01346709","Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe: Predicting Postoperative Pulmonary Complications in Europe: a 7-day Data Collection; Prospective; Observational Study; Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe","rayyan-325727763","Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe: Predicting Postoperative Pulmonary Complications in Europe: a 7-day Data Collection; Prospective; Observational Study; Prospective Evaluation of a RIsk Score for Postoperative Pulmonary COmPlications in Europe","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: Prognosis,prognosis,Validation,validation | USER-NOTES: {""Nicole""=>[""simple score; unclear if a multivariable model""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""Nicole""=>[""simple score; unclear if a multivariable model""]",2,0,1,2,0,"Include","Include"
"NCT01357057","Biological Markers in Patients Presenting Aneurism Coiling for Subarachnoid Hemorrhage; Admission Bio-clinical Score to Predict One-year Outcomes in Coiled Subarachnoid Hemorrhage (SAH)","rayyan-325727764","Biological Markers in Patients Presenting Aneurism Coiling for Subarachnoid Hemorrhage; Admission Bio-clinical Score to Predict One-year Outcomes in Coiled Subarachnoid Hemorrhage (SAH)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01364168","Prospective Cohort With Incident Stroke; Prospective Cohort With Incident Stroke","rayyan-325727765","Prospective Cohort With Incident Stroke; Prospective Cohort With Incident Stroke","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01369290","EEG Signal Processing as a Predictor of Antidepressant Response; Electroencephalography (EEG) Signal Processing","rayyan-325727766","EEG Signal Processing as a Predictor of Antidepressant Response; Electroencephalography (EEG) Signal Processing","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01372319","Assessment of Advanced Glaucomatous Visual Field Loss and Its Impact on Visual Exploration; Activities of Daily Living (ADL) and Quality of Life (QoL); Assessment of Advanced Glaucomatous Visual Field Loss and Its Impact on Visual Exploration; Activities of Daily Living (ADL) and Quality of Life (QoL)","rayyan-325727767","Assessment of Advanced Glaucomatous Visual Field Loss and Its Impact on Visual Exploration; Activities of Daily Living (ADL) and Quality of Life (QoL); Assessment of Advanced Glaucomatous Visual Field Loss and Its Impact on Visual Exploration; Activities of Daily Living (ADL) and Quality of Life (QoL)","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong outcome","""Nicole""=>""Excluded"", ""Rex""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT01392365","Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease; Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease","rayyan-325727768","Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease; Development of a Prediction Model for Differential Diagnosis Between Intestinal Tuberculosis and Crohn's Disease","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: diagnosis,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01490541","; The Predictive Scores for Gastric Cancer in Gastric Intestinal Metaplasia (GIM) Patient: a Recommendation for Thai Population","rayyan-325727769","; The Predictive Scores for Gastric Cancer in Gastric Intestinal Metaplasia (GIM) Patient: a Recommendation for Thai Population","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01490645","ProAcor: Prospective Structured Care In Acute Coronary Syndrome Registry; A NIS Registry of the Prospective Structured Care In Acute Coronary Syndrome","rayyan-325727770","ProAcor: Prospective Structured Care In Acute Coronary Syndrome Registry; A NIS Registry of the Prospective Structured Care In Acute Coronary Syndrome","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design","""Nicole""=>""Excluded"", ""dn.borg""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT01527396","Multi-center Prospective Observational Study for the Validation of Preoperative Low-risk Criteria for Lymph Node Metastasis in Endometrial Cancer; Prospective; Observational Study of Low-risk Criteria for Node Metastasis in Endometrial Cancer","rayyan-325727771","Multi-center Prospective Observational Study for the Validation of Preoperative Low-risk Criteria for Lymph Node Metastasis in Endometrial Cancer; Prospective; Observational Study of Low-risk Criteria for Node Metastasis in Endometrial Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Diagnostic,Validation,validation","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01587573","Pivotal Validation Study of Salivary Biomarkers for the Risk Stratification of Patients With Lesions Suspicious for Oral Squamous Cell Carcinoma; Developing an In-vitro Diagnostic Risk-Stratification Test for Oral Cancer","rayyan-325727772","Pivotal Validation Study of Salivary Biomarkers for the Risk Stratification of Patients With Lesions Suspicious for Oral Squamous Cell Carcinoma; Developing an In-vitro Diagnostic Risk-Stratification Test for Oral Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""a.barnett""=>""Excluded"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: diagnosis,Diagnostic,Validation,validation | RAYYAN-EXCLUSION-REASONS: case-control | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]}","""Nicole""=>""Included"", ""a.barnett""=>""Excluded"", ""dn.borg""=>""Maybe"", ""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]",1,1,1,2,0,"Include","Include"
"NCT01609465","Prognostic Models for People With Stable Coronary Artery Disease; Prognostic Models for People With Stable Coronary Artery Disease","rayyan-325727773","Prognostic Models for People With Stable Coronary Artery Disease; Prognostic Models for People With Stable Coronary Artery Disease","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""dn.borg""=>""Included""} | RAYYAN-LABELS: Validation,validation,Development,development","""Nicole""=>""Included"", ""dn.borg""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01617395","Integrating Genetic and Environmental Risk Scores Into an Algorithm to Predict Multiple Sclerosis Susceptibility; Relating Genetic and Environmental Risk Scores to Multiple Sclerosis Susceptibility","rayyan-325727774","Integrating Genetic and Environmental Risk Scores Into an Algorithm to Predict Multiple Sclerosis Susceptibility; Relating Genetic and Environmental Risk Scores to Multiple Sclerosis Susceptibility","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""a.barnett""=>""Excluded""} | RAYYAN-LABELS: prognosis,validation,multiple designs | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]}","""Nicole""=>""Included"", ""a.barnett""=>""Excluded"", ""Rex""=>[""DISCUSSED - DECISION:INCLUDE""]",1,1,0,2,0,"Include","Include"
"NCT01634997","An Evaluation of the SCOUT DS Device. Random Capillary Glucose and Leicester Diabetes Risk Score for Screening Subjects at Risk for Type 2 Diabetes; Evaluation of SCOUT DS Device in the Diagnosis of Diabetes","rayyan-325727775","An Evaluation of the SCOUT DS Device. Random Capillary Glucose and Leicester Diabetes Risk Score for Screening Subjects at Risk for Type 2 Diabetes; Evaluation of SCOUT DS Device in the Diagnosis of Diabetes","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Maybe""}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Maybe""",0,2,1,2,0,"Exclude","Exclude"
"NCT01740739","Evaluation Using ClearView in Determining Association to the Cardiac Risk Factors (Cardiac-CV); Evaluation Using ClearView in Determining Association to the Cardiac Risk Factors","rayyan-325727776","Evaluation Using ClearView in Determining Association to the Cardiac Risk Factors (Cardiac-CV); Evaluation Using ClearView in Determining Association to the Cardiac Risk Factors","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""a.barnett""=>""Excluded""}","""Nicole""=>""Excluded"", ""a.barnett""=>""Excluded""",0,2,0,2,0,"Exclude","Exclude"
"NCT01826760","Study of 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure Using Artificial Neural Network; Study of the Model to Predict 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure","rayyan-325727777","Study of 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure Using Artificial Neural Network; Study of the Model to Predict 3-month Mortality Risk of Acute-on-chronic Hepatitis B Liver Failure","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT01873287","Predicting Persistent Postconcussive Problems in Pediatrics: A Clinical Prediction Rule Derivation and Validation Study; Predicting Persistent Postconcussive Problems in Pediatrics (5P)","rayyan-325727778","Predicting Persistent Postconcussive Problems in Pediatrics: A Clinical Prediction Rule Derivation and Validation Study; Predicting Persistent Postconcussive Problems in Pediatrics (5P)","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development | USER-NOTES: {""Nicole""=>[""Have protocol published in bmj open""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""Nicole""=>[""Have protocol published in bmj open""]",2,0,0,2,0,"Include","Include"
"NCT01898572","Carotid Intimae-media Thickness (CIMT) and Carotid Plaque (CP) Presence as Risk Markers of Cardiovascular Disease at the Time of Type 2 Diabetes Diagnosis; Carotid Atherosclerosis In Newly Diagnosed Type 2 Individuals","rayyan-325727779","Carotid Intimae-media Thickness (CIMT) and Carotid Plaque (CP) Presence as Risk Markers of Cardiovascular Disease at the Time of Type 2 Diabetes Diagnosis; Carotid Atherosclerosis In Newly Diagnosed Type 2 Individuals","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognostic,development,multiple designs | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Included"", ""Rex""=>[""DISCUSSED - DECISION:EXCLUDE""]",1,2,0,3,0,"Exclude","Exclude"
"NCT01913769","Monitoring Radiobiological Effects in Thoracic Malignancy by Using Myocardial Perfusion Scan: Correlation Between Radiotherapy Dose Distribution; Myocardial Perfusion; Cardiac Function; Serum Biomarkers and Clinical Prognosis.; Monitoring Radiobiological Effects in Thoracic Malignancy by Using Myocardial Perfusion Scan","rayyan-325727780","Monitoring Radiobiological Effects in Thoracic Malignancy by Using Myocardial Perfusion Scan: Correlation Between Radiotherapy Dose Distribution; Myocardial Perfusion; Cardiac Function; Serum Biomarkers and Clinical Prognosis.; Monitoring Radiobiological Effects in Thoracic Malignancy by Using Myocardial Perfusion Scan","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""",0,3,0,3,0,"Exclude","Exclude"
"NCT01917461","Observational; Prospective Study to Evaluate Biomarkers as Indicators of Bacterial or Viral Infection During Acute Infectious Diseases; Observational; Prospective Clinical Study to Evaluate Biomarkers as Indicators of Acute Bacterial or Viral Infections","rayyan-325727781","Observational; Prospective Study to Evaluate Biomarkers as Indicators of Bacterial or Viral Infection During Acute Infectious Diseases; Observational; Prospective Clinical Study to Evaluate Biomarkers as Indicators of Acute Bacterial or Viral Infections","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnosis,diagnostic,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT01958528","A Prospective Study Of Circulating Multiple Myeloma Cells As A Biomarker Of Progression In Myeloma Precursor States (MGUS And SMM); Study Of Circulating Multiple Myeloma Cells As A Biomarker of MGUS And SMM","rayyan-325727782","A Prospective Study Of Circulating Multiple Myeloma Cells As A Biomarker Of Progression In Myeloma Precursor States (MGUS And SMM); Study Of Circulating Multiple Myeloma Cells As A Biomarker of MGUS And SMM","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""",0,3,0,3,0,"Exclude","Exclude"
"NCT02001493","Observational Prospective Study to Analyze a Metabolomic Profile and to Explore it as Prognostic Factor in Patients With Renal Cell Carcinoma (mRCC); Metabolomic Profiling in Renal Cell Carcinoma","rayyan-325727783","Observational Prospective Study to Analyze a Metabolomic Profile and to Explore it as Prognostic Factor in Patients With Renal Cell Carcinoma (mRCC); Metabolomic Profiling in Renal Cell Carcinoma","RAYYAN-INCLUSION: {""Rex""=>""Included"", ""a.barnett""=>""Excluded""} | RAYYAN-LABELS: prognosis,development | RAYYAN-EXCLUSION-REASONS: multiple variable model | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION:UNCLEAR - CHAT WITH ADRIAN"", ""DISCUSSED - DECISION:EXCLUDE""]}","""Rex""=>""Included"", ""a.barnett""=>""Excluded"", ""Rex""=>[""DISCUSSED - DECISION:UNCLEAR - CHAT WITH ADRIAN"", ""DISCUSSED - DECISION:EXCLUDE""]",1,1,0,2,0,"Exclude","Exclude"
"NCT02025699","Observational Multi-center; Prospective Study to Characterize Novel pathogen-and Host-related Factors in Hospitalized Patients and Patients on the Emergency Department Presenting With Lower Respiratory Tract Infections and/or Sepsis.; Prospective Study to Characterize Host-pathogen Related Factors in Hospitalized and ED Patients With LRTI and/or Sepsis","rayyan-325727784","Observational Multi-center; Prospective Study to Characterize Novel pathogen-and Host-related Factors in Hospitalized Patients and Patients on the Emergency Department Presenting With Lower Respiratory Tract Infections and/or Sepsis.; Prospective Study to Characterize Host-pathogen Related Factors in Hospitalized and ED Patients With LRTI and/or Sepsis","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnostic,development","""Nicole""=>""Included"", ""a.barnett""=>""Included""",2,0,0,2,0,"Include","Include"
