NCT,PMID,title,match,protocol,biomarker,mutivariable,other
NCT03439449,33904821,Use of Self-Reported Computerized Medical History Taking for Acute Chest Pain in the Emergency Department - the Clinical Expert Operating System Chest Pain Danderyd Study (CLEOS-CPDS): Prospective Cohort Study.,0,,,,1
NCT03382223,32280086,A Prospective Longitudinal Study of Caregivers of Community Dwelling Persons with Severe Dementia (PISCES): Study Protocol.,0,1,,,
NCT03362138,30674442,Dermoscopy diagnosis of cancerous lesions utilizing dual deep learning algorithms via visual and audio (sonification) outputs: Laboratory and prospective observational studies.,1,,,,
NCT03362138,31101596,Skin cancer detection by deep learning and sound analysis algorithms: A prospective clinical study of an elementary dermoscope.,1,,,,
NCT03352648,29550015,CarDiac MagnEtic Resonance for Primary Prevention Implantable CardioVerter DebrillAtor ThErapy international registry: Design and rationale of the DERIVATE study.,0,1,,,
NCT03352648,33792661,CarDiac magnEtic Resonance for prophylactic Implantable-cardioVerter defibrillAtor ThErapy in Non-Ischaemic dilated CardioMyopathy: an international Registry.,1,,,,
NCT03330769,29991631,Clinical and ultrasonographic predictors for achieving minimal disease activity in patients with psoriatic arthritis: the UPSTREAM (Ultrasound in PSoriatic arthritis TREAtMent) prospective observational study protocol.,0,1,,,
NCT03299010,30327405,Ten-year risk prediction models of complications and mortality of Chinese patients with diabetes mellitus in primary care in Hong Kong: a study protocol.,0,1,,,
NCT03299010,33879090,Generative adversarial networks for imputing missing data for big data clinical research.,0,,,,1
NCT03253432,34617591,Strategies for screening for familial hypercholesterolaemia in primary care and other community settings.,0,,,,1
NCT03248557,29885765,Early prognostic value of an Algorithm based on spectral Variables of Ventricular fibrillAtion from the EKG of patients with suddEn cardiac death: A multicentre observational study (AWAKE).,0,1,,,
NCT03247049,31879838,Risk of Long-Term Mortality for Complex Chronic Patients with Intracerebral Hemorrhage: A Population-Based e-Cohort Observational Study.,1,,,,2
NCT03247049,33546615,Complex chronic patients as an emergent group with high risk of intracerebral haemorrhage: an observational cohort study.,0,,,1,
NCT03150680,34103005,The GEnetic Syntax Score: a genetic risk assessment implementation tool grading the complexity of coronary artery disease-rationale and design of the GESS study.,0,1,,,
NCT03150680,35118145,A Risk-Stratification Machine Learning Framework for the Prediction of Coronary Artery Disease Severity: Insights From the GESS Trial.,1,,,,
NCT03110887,30819913,Dynamic prediction of bleeding risk in thrombocytopenic preterm neonates.,1,,,,
NCT03080623,33889025,Machine Learning Models to Improve the Differentiation Between Benign and Malignant Breast Lesions on Ultrasound: A Multicenter External Validation Study.,1,,,,
NCT03054142,33407184,Is acute kidney injury age-dependent in older adults: an observational study in two centers from North China.,0,,,,1
NCT02992587,32929483,One-year mortality increases four-fold in frail patients undergoing cardiac surgery.,1,,,,
NCT02992587,33724366,Comprehensive assessment of frailty score supplements the existing cardiac surgical risk scores.,1,,,,
NCT02992587,31304801,30-day mortality in frail patients undergoing cardiac surgery: the results of the frailty in cardiac surgery (FICS) copenhagen study.,1,,,,
NCT02992067,31659631,A Prospective Validation Cohort Study of a Prediction Model on Non-sentinel Lymph Node Involvement in Early Breast Cancer.,1,,,,
NCT02955485,30021553,A risk assessment model for chronic ankle instability: indications for early surgical treatment? An observational prospective cohort - study protocol.,0,1,,,
NCT02912624,31912438,Feasibility of cardiac output measurements in critically ill patients by medical students.,0,,,,1
NCT02912624,31011425,Disagreement in cardiac output measurements between fourth-generation FloTrac and critical care ultrasonography in patients with circulatory shock: a prospective observational study.,0,,,,1
NCT02912624,31670697,A Bayesian Network Analysis of the Diagnostic Process and Its Accuracy to Determine How Clinicians Estimate Cardiac Function in Critically Ill Patients: Prospective Observational Cohort Study.,0,,,,1
NCT02912624,28963297,"Clinical examination, critical care ultrasonography and outcomes in the critically ill: cohort profile of the Simple Intensive Care Studies-I.",0,1,,,
NCT02912624,31931844,Should the ultrasound probe replace your stethoscope? A SICS-I sub-study comparing lung ultrasound and pulmonary auscultation in the critically ill.,0,,,,1
NCT02904577,31292118,Early progression as a predictor of survival in marginal zone lymphomas: an analysis from the FIL-NF10 study.,0,,1,,
NCT02898415,28989060,Metroticket 2.0 Model for Analysis of Competing Risks of Death After Liver Transplantation for Hepatocellular Carcinoma.,1,,,,
NCT02863211,29101147,"Protocol for the HAPPY Hearts study: cardiovascular screening for the early detection of future adverse cardiovascular outcomes in middle-aged and older women: a prospective, observational cohort study.",0,1,,,2
NCT02833259,33177142,Development of a risk prediction model of potentially avoidable readmission for patients hospitalised with community-acquired pneumonia: study protocol and population.,0,1,,,
NCT02832102,34738049,Clinical Validity of a Prognostic Gene Expression Cluster-Based Model in Human Papillomavirus-Positive Oropharyngeal Carcinoma.,1,,,,
NCT02805621,31422141,Influence of Coronary Calcium on Diagnostic Performance of Machine Learning CT-FFR: Results From MACHINE Registry.,1,,,,2
NCT02803086,33639190,Acute patient-reported intestinal toxicity in whole pelvis IMRT for prostate cancer: Bowel dose-volume effect quantification in a multicentric cohort study.,1,,,,
NCT02803086,34209562,Predictors of Patient-Reported Incontinence at Adjuvant/Salvage Radiotherapy after Prostatectomy: Impact of Time between Surgery and Radiotherapy.,1,,,1,
NCT02646943,30383777,Beneficial effects of benznidazole in Chagas disease: NIH SaMi-Trop cohort study.,0,,,,1
NCT02646943,32459812,Factors associated with quality of life in patients with Chagas disease: SaMi-Trop project.,0,,,,1
NCT02646943,27147390,Longitudinal study of patients with chronic Chagas cardiomyopathy in Brazil (SaMi-Trop project): a cohort profile.,0,,,,1
NCT02618538,29166878,The ANDROMEDA prospective cohort study: predictive value of combined criteria to tailor breast cancer screening and new opportunities from circulating markers: study protocol.,0,1,,,
NCT02592135,31288565,TACIT (High Sensitivity Troponin T Rules Out Acute Cardiac Insufficiency Trial).,0,,1,,
NCT02581540,32518208,Identification of high-risk non-ST elevation myocardial infarction at presentation to emergency department. A prospective observational cohort study in North West England.,0,,,1,
NCT02573532,29203498,"Perioperative Myocardial Injury After Noncardiac Surgery: Incidence, Mortality, and Characterization.",0,,,,1
NCT02573532,30541757,Daytime variation of perioperative myocardial injury in non-cardiac surgery and effect on outcome.,0,,,,1
NCT02573532,33059838,Etiology of Peri-Operative Myocardial Infarction/Injury After Noncardiac Surgery and Associated Outcome.,0,,,,1
NCT02573532,33081973,Association between self-reported functional capacity and major adverse cardiac events in patients at elevated risk undergoing noncardiac surgery: a prospective diagnostic cohort study.,2,,,,
NCT02573532,33620378,Incidence of major adverse cardiac events following non-cardiac surgery.,0,,,,1
NCT02573532,34330416,Adherence to the European Society of Cardiology/European Society of Anaesthesiology recommendations on preoperative cardiac testing and association with positive results and cardiac events: a cohort study.,2,,,,
NCT02569268,31390128,Comparison of vascular-related diseases in their associations with carotid femoral pulse wave velocity: From the Beijing Vascular Disease Patients Evaluation Study (BEST Study).,0,,,1,
NCT02569268,32738905,Association between multi-site atherosclerotic plaques and systemic arteriosclerosis: results from the BEST study (Beijing Vascular Disease Patients Evaluation Study).,0,,,1,
NCT02569268,29553852,The effect of cardiovascular risk factors on the carotid intima-media thickness in an old-aged cohort with hypertension: a longitudinal evolution with 4-year follow-up of a random clinical trial.,0,,,1,
NCT02569268,31341663,Gender Difference of the Relationship between Arterial Stiffness and Blood Pressure Variability in Participants in Prehypertension.,0,,,1,
NCT02555137,34127618,Postpulmonary embolism syndrome.,0,,,,1
NCT02488161,27391216,Colorectal cancer health services research study protocol: the CCR-CARESS observational prospective cohort project.,0,1,,,
NCT02488161,29378647,Validity of the CR-POSSUM model in surgery for colorectal cancer in Spain (CCR-CARESS study) and comparison with other models to predict operative mortality.,1,,,,
NCT02488161,29563837,Combining statistical techniques to predict postsurgical risk of 1-year mortality for patients with colon cancer.,1,,,,
NCT02488161,29869084,Cost-effectiveness analysis of laparoscopic versus open surgery in colon cancer.,0,,,,1
NCT02488161,29921557,Outcomes of open versus laparoscopic surgery in patients with colon cancer.,0,,,,1
NCT02488161,30793242,Risk factors affecting hospital stay among patients undergoing colon cancer surgery: a prospective cohort study.,1,,,,
NCT02488161,31140003,Stage- and age-adjusted cost-effectiveness analysis of laparoscopic surgery in rectal cancer.,0,,,,1
NCT02488161,31485982,Predictors of readmission and reoperation in patients with colorectal cancer.,1,,,,
NCT02488161,34446044,Risk scores to predict mortality 2 and 5 years after surgery for colorectal cancer in elderly patients.,1,,,,
NCT02488161,34893952,Quality Indicators and Outcomes in a Prospective Cohort of Colorectal Cancer Patients.,0,,,,1
NCT02466854,27738920,Optimal Medical Therapy in Patients with Malignancy Undergoing Percutaneous Coronary Intervention for Acute Coronary Syndrome: a BleeMACS Sub-Study.,0,,,1,
NCT02466854,28593789,Prevalence and outcome of patients with cancer and acute coronary syndrome undergoing percutaneous coronary intervention: a BleeMACS substudy.,0,,,1,
NCT02466854,29407077,Development and external validation of a post-discharge bleeding risk score in patients with acute coronary syndrome: The BleeMACS score.,1,,,,
NCT02466854,34729148,Evaluation of optimal medical therapy in acute myocardial infarction patients with prior stroke.,0,,,,1
NCT02443389,30546043,Late onset neonatal acute kidney injury: results from the AWAKEN Study.,0,,,1,
NCT02439554,29310641,Health services research in patients with breast cancer (CAMISS-prospective): study protocol for an observational prospective study.,0,1,,,
NCT02355457,28087181,Challenging the 99th percentile: A lower troponin cutoff leads to low mortality of chest pain patients.,0,,,,1
NCT02355457,28333976,Early diagnosis of acute myocardial infarction using high-sensitivity troponin I.,2,,,,
NCT02355457,29020401,Discrimination of patients with type 2 myocardial infarction.,1,,,,
NCT02355457,29525782,Relations of Sex to Diagnosis and Outcomes in Acute Coronary Syndrome.,0,,,,1
NCT02355457,30071991,Prospective Validation of the 0/1-h Algorithm for Early Diagnosis of Myocardial Infarction.,2,,,,
NCT02355457,30127037,Clinical chemistry score versus high-sensitivity cardiac troponin I and T tests alone to identify patients at low or high risk for myocardial infarction or death at presentation to the emergency department.,1,,,,
NCT02355457,30169752,Impact of age on the performance of the ESC 0/1h-algorithms for early diagnosis of myocardial infarction.,0,,,,1
NCT02355457,30528623,Evaluation of a new ultra-sensitivity troponin I assay in patients with suspected myocardial infarction.,2,,,,
NCT02355457,30989318,Predictive value of soluble urokinase-type plasminogen activator receptor for mortality in patients with suspected myocardial infarction.,1,,,,2
NCT02355457,31242362,Application of High-Sensitivity Troponin in Suspected Myocardial Infarction.,2,,,,
NCT02355457,31843947,Performance of the ESC 0/1-h and 0/3-h Algorithm for the Rapid Identification of Myocardial Infarction Without ST-Elevation in Patients With Diabetes.,2,,,,
NCT02355457,32462911,"Application of a machine learning-driven, multibiomarker panel for prediction of incident cardiovascular events in patients with suspected myocardial infarction.",1,,,,
NCT02355457,32700543,Differences in measurement of high-sensitivity troponin in an on-demand and batch-wise setting.,0,,,,1
NCT02355457,33609133,Differences in measurement of high-sensitivity troponin in an on-demand and batch-wise setting.,0,,,,1
NCT02355457,34254126,Diagnostic Validation of a High-Sensitivity Cardiac Troponin I Assay.,2,,,,
NCT02355457,34350455,The association of anaemia and high-sensitivity cardiac troponin and its effect on diagnosing myocardial infarction.,0,,,1,
NCT02355457,34412811,A Biomarker Model to Distinguish Types of Myocardial Infarction and Injury.,1,,,,
NCT02341066,29483841,Prevalence and Determinants of Peripheral Microvascular Endothelial Dysfunction in Rheumatoid Arthritis Patients: A Multicenter Cross-Sectional Study.,0,,,1,
NCT02341066,32622695,Comprehensive arginine metabolomics and peripheral vasodilatory capacity in rheumatoid arthritis: A monocentric cross-sectional study.,0,,,,2
NCT02210221,25525693,Collaborative European NeuroTrauma Effectiveness Research in Traumatic Brain Injury (CENTER-TBI): a prospective longitudinal observational study.,0,1,,,
NCT02210221,31526754,"Case-mix, care pathways, and outcomes in patients with traumatic brain injury in CENTER-TBI: a European prospective, multicentre, longitudinal, cohort study.",0,,,,1
NCT02210221,31619435,Comparative effectiveness of surgery in traumatic acute subdural and intracerebral haematoma: study protocol for a prospective observational study within CENTER-TBI and Net-QuRe.,0,1,,,
NCT02210221,32131882,Quality indicators for patients with traumatic brain injury in European intensive care units: a CENTER-TBI study.,0,,,,1
NCT02210221,32201256,Machine learning algorithms performed no better than regression models for prognostication in traumatic brain injury.,1,,,,1
NCT02210221,32456684,Low-resolution pressure reactivity index and its derived optimal cerebral perfusion pressure in adult traumatic brain injury: a CENTER-TBI study.,2,,1,,
NCT02210221,32634435,"Incidence, Risk Factors, and Effects on Outcome of Ventilator-Associated Pneumonia in Patients With Traumatic Brain Injury: Analysis of a Large, Multicenter, Prospective, Observational Longitudinal Study.",0,,,,1
NCT02210221,32702336,"Clinical characteristics and outcomes in patients with traumatic brain injury in China: a prospective, multicentre, longitudinal, observational study.",0,,,,1
NCT02210221,32747075,Tracheal intubation in traumatic brain injury: a multicentre prospective observational study.,0,,,,1
NCT02210221,33060506,Acute Kidney Injury in Traumatic Brain Injury Patients: Results From the Collaborative European NeuroTrauma Effectiveness Research in Traumatic Brain Injury Study.,0,,,1,
NCT02210221,33246186,Care transitions in the first 6months following traumatic brain injury: Lessons from the CENTER-TBI study.,0,,,,1
NCT02210221,33622371,Use and impact of high intensity treatments in patients with traumatic brain injury across Europe: a CENTER-TBI analysis.,0,,,,1
NCT02210221,33854024,The authors reply.,0,,,,1
NCT02210221,34302517,Management of arterial partial pressure of carbon dioxide in the first week after traumatic brain injury: results from the CENTER-TBI study.,0,,,,1
NCT02086136,29030346,Diagnostic Accuracy of the Aortic Dissection Detection Risk Score Plus D-Dimer for Acute Aortic Syndromes: The ADvISED Prospective Multicenter Study.,1,,,,2
NCT02086136,31220387,Integrated Use of Conventional Chest Radiography Cannot Rule Out Acute Aortic Syndromes in Emergency Department Patients at Low Clinical Probability.,1,,,,
NCT02070536,30183115,Driving pressure and acute respiratory distress syndrome in critically ill patients.,0,,1,,
NCT02070536,29861796,Clinical and Biological Predictors of Plasma Levels of Soluble RAGE in Critically Ill Patients: Secondary Analysis of a Prospective Multicenter Observational Study.,0,,,,1
NCT02025699,30086729,"Observational multi-centre, prospective study to characterize novel pathogen-and host-related factors in hospitalized patients with lower respiratory tract infections and/or sepsis - the \TAILORED-Treatment\"" study.""",0,1,,,
NCT02022878,25700748,Coronary computed tomographic prediction rule for time-efficient guidewire crossing through chronic total occlusion: insights from the CT-RECTOR multicenter registry (Computed Tomography Registry of Chronic Total Occlusion Revascularization).,1,,,,
NCT01987921,27959707,Epidemiology of Acute Kidney Injury in Critically Ill Children and Young Adults.,0,,,,1
NCT01987921,34331019,Acute kidney injury in critically Ill children and young adults with suspected SARS-CoV2 infection.,0,,,,1
NCT01987921,32620676,Weight as a Risk Factor for Mortality in Critically Ill Patients.,0,,2,,
NCT01970969,29534064,Validation of a genetic risk score for atrial fibrillation: A prospective multicenter cohort study.,2,,,,
NCT01962506,26169889,Ultra-Sensitive Copeptin and Cardiac Troponin in Diagnosing Non-ST-Segment Elevation Acute Coronary Syndromes--The COPACS Study.,1,,,,
NCT01915615,26299218,"Hypertrophic Cardiomyopathy Registry: The rationale and design of an international, observational study of hypertrophic cardiomyopathy.",0,1,,,
NCT01902407,28356179,Upper Airway Reflexes are Preserved During Dexmedetomidine Sedation in Children With Down Syndrome and Obstructive Sleep Apnea.,1,,2,,
NCT01891240,24314209,A multi-centre phase IIa clinical study of predictive testing for preeclampsia: improved pregnancy outcomes via early detection (IMPROvED).,0,1,,,
NCT01873287,23906960,Predicting and preventing postconcussive problems in paediatrics (5P) study: protocol for a prospective multicentre clinical prediction rule derivation study in children with concussion.,0,1,,,
NCT01873287,31316452,The Stability of Retrospective Pre-injury Symptom Ratings Following Pediatric Concussion.,0,,,,1
NCT01873287,32499388,Parent-Child Agreement on Postconcussion Symptoms in the Acute Postinjury Period.,0,,,,2
NCT01838148,26708172,Direct comparison of cardiac troponin I and cardiac troponin T in the detection of exercise-induced myocardial ischemia.,0,,1,,
NCT01838148,29107010,Combining high-sensitivity cardiac troponin and B-type natriuretic peptide in the detection of inducible myocardial ischemia.,2,,,,
NCT01838148,29667014,Automatically computed ECG algorithm for the quantification of myocardial scar and the prediction of mortality.,2,,,,
NCT01838148,31905377,Using High-Sensitivity Cardiac Troponin for the Exclusion of Inducible Myocardial Ischemia in Symptomatic Patients: A Cohort Study.,0,,2,,
NCT01802398,29275946,ECG Predictors of Cardiac Arrhythmias in Older Adults With Syncope.,,,,,
NCT01802398,30255862,Predictors of Clinically Significant Echocardiography Findings in Older Adults with Syncope: A Secondary Analysis.,1,,,,
NCT01802398,30361153,Recurrent syncope is not an independent risk predictor for future syncopal events or adverse outcomes.,0,,,1,
