,NCT_num,pubmed,PMID,Match,Reason no match
27,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/27177511/,27177511,,
28,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/26043149/,26043149,,
29,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/2979363/,2979363,,
30,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/35472215/,35472215,,
31,NCT02904577,https://pubmed.ncbi.nlm.nih.gov/31292118/,31292118,,
32,NCT02039622,https://pubmed.ncbi.nlm.nih.gov/33624069/,33624069,,
33,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/4581554/,4581554,,
34,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/20589696/,20589696,,
35,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/26644232/,26644232,,
36,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/20482783/,20482783,,
37,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/23460467/,23460467,,
38,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/26433318/,26433318,,
39,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/25837448/,25837448,,
40,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/17477479/,17477479,,
41,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/17477480/,17477480,,
42,NCT03330769,https://pubmed.ncbi.nlm.nih.gov/29991631/,29991631,,
43,NCT03642483,https://pubmed.ncbi.nlm.nih.gov/26084580/,26084580,,
44,NCT03642483,https://pubmed.ncbi.nlm.nih.gov/19754628/,19754628,,
45,NCT03642483,https://pubmed.ncbi.nlm.nih.gov/22492662/,22492662,,
46,NCT03642483,https://pubmed.ncbi.nlm.nih.gov/25789107/,25789107,,
47,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/24399786/,24399786,,
48,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/17065637/,17065637,,
49,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/23972816/,23972816,,
50,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/6734291/,6734291,,
51,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/22031728/,22031728,,
52,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/11844811/,11844811,,
53,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/11147630/,11147630,,
54,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/15249451/,15249451,,
55,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/21714641/,21714641,,
56,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/15552777/,15552777,,
57,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/23315954/,23315954,,
58,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/22710039/,22710039,,
59,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/22610500/,22610500,,
60,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/24378917/,24378917,,
61,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/20404381/,20404381,,
62,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/23697514/,23697514,,
63,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/25065710/,25065710,,
64,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/17290066/,17290066,,
65,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/22464348/,22464348,,
66,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/20004998/,20004998,,
67,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/21093954/,21093954,,
68,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19026460/,19026460,,
69,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19124501/,19124501,,
70,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19755391/,19755391,,
71,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/15748289/,15748289,,
72,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/22729933/,22729933,,
73,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/18760859/,18760859,,
74,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/17908966/,17908966,,
75,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/9152946/,9152946,,
76,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/8196118/,8196118,,
77,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/7837375/,7837375,,
78,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/9729086/,9729086,,
79,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/9365295/,9365295,,
80,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/10645816/,10645816,,
81,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/16651454/,16651454,,
82,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/11977420/,11977420,,
83,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/20546590/,20546590,,
84,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19464070/,19464070,,
85,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/20064777/,20064777,,
86,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/15613666/,15613666,,
87,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/1442729/,1442729,,
88,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/9126500/,9126500,,
89,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/7091889/,7091889,,
90,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/2825752/,2825752,,
91,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/25216835/,25216835,,
92,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/10619790/,10619790,,
93,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19996344/,19996344,,
94,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/24043436/,24043436,,
95,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19812684/,19812684,,
96,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19190518/,19190518,,
97,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/17035426/,17035426,,
98,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/18006933/,18006933,,
99,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/14728941/,14728941,,
100,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/16160696/,16160696,,
101,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/17879370/,17879370,,
102,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/18319414/,18319414,,
103,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/19767090/,19767090,,
104,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/20159813/,20159813,,
105,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/22573488/,22573488,,
106,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/21300759/,21300759,,
107,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/23239743/,23239743,,
108,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/22367405/,22367405,,
109,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/20700438/,20700438,,
110,NCT02611570,https://pubmed.ncbi.nlm.nih.gov/23704207/,23704207,,
111,NCT05135377,https://pubmed.ncbi.nlm.nih.gov/36316072/,36316072,,
112,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/32393647/,32393647,,
113,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/23652265/,23652265,,
114,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/28154096/,28154096,,
115,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/28154099/,28154099,,
116,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/7678184/,7678184,,
117,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/16240340/,16240340,,
118,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/20852671/,20852671,,
119,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/26888534/,26888534,,
120,NCT04679727,https://pubmed.ncbi.nlm.nih.gov/35763768/,35763768,,
121,NCT02172365,https://pubmed.ncbi.nlm.nih.gov/23803709/,23803709,,
122,NCT02172365,https://pubmed.ncbi.nlm.nih.gov/9798583/,9798583,,
123,NCT02172365,https://pubmed.ncbi.nlm.nih.gov/21156844/,21156844,,
124,NCT02172365,https://pubmed.ncbi.nlm.nih.gov/21926354/,21926354,,
125,NCT02172365,https://pubmed.ncbi.nlm.nih.gov/19965667/,19965667,,
126,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/21160525/,21160525,,
127,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/16467544/,16467544,,
128,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/17960013/,17960013,,
129,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/17327856/,17327856,,
130,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/17259930/,17259930,,
131,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/17960012/,17960012,,
132,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/18474878/,18474878,,
133,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/19446902/,19446902,,
134,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/16275937/,16275937,,
135,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/19897418/,19897418,,
136,NCT02546895,https://pubmed.ncbi.nlm.nih.gov/11896109/,11896109,,
137,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/7818567/,7818567,,
138,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/29016895/,29016895,,
139,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/25980433/,25980433,,
140,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/27916278/,27916278,,
141,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/28572464/,28572464,,
142,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/8347962/,8347962,,
143,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/22734970/,22734970,,
144,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/9008605/,9008605,,
145,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/29717675/,29717675,,
146,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/19556195/,19556195,,
147,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/30614553/,30614553,,
148,NCT04088747,https://pubmed.ncbi.nlm.nih.gov/23153689/,23153689,,
149,NCT04719117,https://pubmed.ncbi.nlm.nih.gov/35554877/,35554877,,
150,NCT03362346,https://pubmed.ncbi.nlm.nih.gov/26017442/,26017442,,
151,NCT03362346,https://pubmed.ncbi.nlm.nih.gov/27473064/,27473064,,
152,NCT04824378,https://pubmed.ncbi.nlm.nih.gov/26091408/,26091408,,
153,NCT04824378,https://pubmed.ncbi.nlm.nih.gov/26071198/,26071198,,
154,NCT04824378,https://pubmed.ncbi.nlm.nih.gov/22675520/,22675520,,
155,NCT04824378,https://pubmed.ncbi.nlm.nih.gov/21681123/,21681123,,
156,NCT04904289,https://pubmed.ncbi.nlm.nih.gov/31804299/,31804299,,
157,NCT04904289,https://pubmed.ncbi.nlm.nih.gov/26903338/,26903338,,
158,NCT04904289,https://pubmed.ncbi.nlm.nih.gov/31511662/,31511662,,
159,NCT04904289,https://pubmed.ncbi.nlm.nih.gov/31039813/,31039813,,
160,NCT05010330,https://pubmed.ncbi.nlm.nih.gov/32805489/,32805489,,
161,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/19446842/,19446842,,
162,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/20842407/,20842407,,
163,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/27826086/,27826086,,
164,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/21508873/,21508873,,
165,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/26295500/,26295500,,
166,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/21631203/,21631203,,
167,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/18054606/,18054606,,
168,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/26207604/,26207604,,
169,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/27624099/,27624099,,
170,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/23644629/,23644629,,
171,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/22044375/,22044375,,
172,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/27436208/,27436208,,
173,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/22295925/,22295925,,
174,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/17041837/,17041837,,
175,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/27581315/,27581315,,
176,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/30497212/,30497212,,
177,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/28291428/,28291428,,
178,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/26870897/,26870897,,
179,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/21456920/,21456920,,
180,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/28430083/,28430083,,
181,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/20043738/,20043738,,
182,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/15918943/,15918943,,
183,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/18058641/,18058641,,
184,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/26230473/,26230473,,
185,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/23682819/,23682819,,
186,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/19907200/,19907200,,
187,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/24908225/,24908225,,
188,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/22120264/,22120264,,
189,NCT04773938,https://pubmed.ncbi.nlm.nih.gov/35105647/,35105647,,
190,NCT01902407,https://pubmed.ncbi.nlm.nih.gov/28356179/,28356179,1,
191,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/25004354/,25004354,,
192,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/21310373/,21310373,,
193,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/22005709/,22005709,,
194,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/21519036/,21519036,,
195,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/22362253/,22362253,,
196,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/22281937/,22281937,,
197,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/22742782/,22742782,,
198,NCT02278874,https://pubmed.ncbi.nlm.nih.gov/22585317/,22585317,,
199,NCT03964714,https://pubmed.ncbi.nlm.nih.gov/18712640/,18712640,,
200,NCT03964714,https://pubmed.ncbi.nlm.nih.gov/28511639/,28511639,,
201,NCT03964714,https://pubmed.ncbi.nlm.nih.gov/21158744/,21158744,,
202,NCT03964714,https://pubmed.ncbi.nlm.nih.gov/23527951/,23527951,,
203,NCT03964714,https://pubmed.ncbi.nlm.nih.gov/22972940/,22972940,,
204,NCT02352207,https://pubmed.ncbi.nlm.nih.gov/34266941/,34266941,,
205,NCT02352207,https://pubmed.ncbi.nlm.nih.gov/30264541/,30264541,,
206,NCT02070536,https://pubmed.ncbi.nlm.nih.gov/30183115/,30183115,,
207,NCT02070536,https://pubmed.ncbi.nlm.nih.gov/29861796/,29861796,,
208,NCT03439449,https://pubmed.ncbi.nlm.nih.gov/34570811/,34570811,,
209,NCT03439449,https://pubmed.ncbi.nlm.nih.gov/33904821/,33904821,,
210,NCT03439449,https://pubmed.ncbi.nlm.nih.gov/31969363/,31969363,,
211,NCT04994184,https://pubmed.ncbi.nlm.nih.gov/25722739/,25722739,,
212,NCT04994184,https://pubmed.ncbi.nlm.nih.gov/22191386/,22191386,,
213,NCT04994184,https://pubmed.ncbi.nlm.nih.gov/31193430/,31193430,,
214,NCT04994184,https://pubmed.ncbi.nlm.nih.gov/18958520/,18958520,,
215,NCT04994184,https://pubmed.ncbi.nlm.nih.gov/12549682/,12549682,,
216,NCT04994184,https://pubmed.ncbi.nlm.nih.gov/22500261/,22500261,,
217,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/24656536/,24656536,,
218,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/23980065/,23980065,,
219,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/22740453/,22740453,,
220,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/22331955/,22331955,,
221,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/26690722/,26690722,,
222,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/23787396/,23787396,,
223,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/23319689/,23319689,,
224,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/24558201/,24558201,,
225,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/24030381/,24030381,,
226,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/21995386/,21995386,,
227,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/25721895/,25721895,,
228,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/24935723/,24935723,,
229,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/28321120/,28321120,,
230,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/25426837/,25426837,,
231,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/28074069/,28074069,,
232,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/19230772/,19230772,,
233,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/21753188/,21753188,,
234,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/21269692/,21269692,,
235,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/27601546/,27601546,,
236,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/25574665/,25574665,,
237,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/28092685/,28092685,,
238,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/25242043/,25242043,,
239,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/28870615/,28870615,,
240,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/22300879/,22300879,,
241,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/22579634/,22579634,,
242,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/28350519/,28350519,,
243,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/23243156/,23243156,,
244,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/20940414/,20940414,,
245,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/20026804/,20026804,,
246,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/23614682/,23614682,,
247,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/26350487/,26350487,,
248,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/26922775/,26922775,,
249,NCT04174547,https://pubmed.ncbi.nlm.nih.gov/26246143/,26246143,,
250,NCT01325883,https://pubmed.ncbi.nlm.nih.gov/27589870/,27589870,,
251,NCT03693378,https://pubmed.ncbi.nlm.nih.gov/30106639/,30106639,,
252,NCT03693378,https://pubmed.ncbi.nlm.nih.gov/35166713/,35166713,,
253,NCT03693378,https://pubmed.ncbi.nlm.nih.gov/34643612/,34643612,1,
254,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/31555327/,31555327,,
255,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/28794054/,28794054,,
256,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/28376093/,28376093,,
257,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/33332868/,33332868,,
258,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/33323438/,33323438,,
259,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/31671144/,31671144,,
260,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/31226858/,31226858,,
261,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/31046985/,31046985,,
262,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/32676784/,32676784,,
263,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/33155096/,33155096,,
264,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/33094035/,33094035,,
265,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/32968637/,32968637,,
266,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/33289360/,33289360,,
267,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/32811651/,32811651,,
268,NCT04682756,https://pubmed.ncbi.nlm.nih.gov/29887469/,29887469,,
269,NCT05167812,https://pubmed.ncbi.nlm.nih.gov/36153018/,36153018,,
270,NCT03352648,https://pubmed.ncbi.nlm.nih.gov/33792661/,33792661,1,
271,NCT03352648,https://pubmed.ncbi.nlm.nih.gov/29550015/,29550015,,
272,NCT00969657,https://pubmed.ncbi.nlm.nih.gov/24309199/,24309199,,
273,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/30394982/,30394982,,
274,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/31276448/,31276448,,
275,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/24892770/,24892770,,
276,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/30635225/,30635225,,
277,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/22935847/,22935847,,
278,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/23517220/,23517220,,
279,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/28455314/,28455314,,
280,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/30107515/,30107515,,
281,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/31848394/,31848394,,
282,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/24029869/,24029869,,
283,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/21709109/,21709109,,
284,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/23181690/,23181690,,
285,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/32973085/,32973085,,
286,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/33710173/,33710173,,
287,NCT05189418,https://pubmed.ncbi.nlm.nih.gov/23393577/,23393577,,
288,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/33539200/,33539200,,
289,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/24656536/,24656536,,
290,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/27069254/,27069254,,
291,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/24935723/,24935723,,
292,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/23065505/,23065505,,
293,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/16186598/,16186598,,
294,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/23980065/,23980065,,
295,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/22740453/,22740453,,
296,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/25721895/,25721895,,
297,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/24136165/,24136165,,
298,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/21995386/,21995386,,
299,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/21909114/,21909114,,
300,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/24030381/,24030381,,
301,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/22331955/,22331955,,
302,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/27276561/,27276561,,
303,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/28092685/,28092685,,
304,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/30304655/,30304655,,
305,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/8668867/,8668867,,
306,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/23913655/,23913655,,
307,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/29930011/,29930011,,
308,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/21998214/,21998214,,
309,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/24325356/,24325356,,
310,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/31582393/,31582393,,
311,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/31040863/,31040863,,
312,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/29858584/,29858584,,
313,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/24220272/,24220272,,
314,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/24372512/,24372512,,
315,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/30635634/,30635634,,
316,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/25139356/,25139356,,
317,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/27601546/,27601546,,
318,NCT04889729,https://pubmed.ncbi.nlm.nih.gov/28177873/,28177873,,
319,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/15598355/,15598355,,
320,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/11923841/,11923841,,
321,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/12566005/,12566005,,
322,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/14755722/,14755722,,
323,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/15667502/,15667502,,
324,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/16209647/,16209647,,
325,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/14707615/,14707615,,
326,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/11794169/,11794169,,
327,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/16247103/,16247103,,
328,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/15241104/,15241104,,
329,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/16146761/,16146761,,
330,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/33938716/,33938716,1,
331,NCT00258869,https://pubmed.ncbi.nlm.nih.gov/34150923/,34150923,1,
