"","NCT_num","pubmed","pmid"
"26","NCT04756297","https://pubmed.ncbi.nlm.nih.gov/34237347","34237347"
"27","NCT04719117","https://pubmed.ncbi.nlm.nih.gov/35554877","35554877"
"28","NCT04713852","https://pubmed.ncbi.nlm.nih.gov/34258059","34258059"
"29","NCT04707859","https://pubmed.ncbi.nlm.nih.gov/37487656","37487656"
"30","NCT04689685","https://pubmed.ncbi.nlm.nih.gov/36805169","36805169"
"31","NCT04679727","https://pubmed.ncbi.nlm.nih.gov/35763768","35763768"
"32","NCT04666662","https://pubmed.ncbi.nlm.nih.gov/34215317","34215317"
"33","NCT04657900","https://pubmed.ncbi.nlm.nih.gov/34728455","34728455"
"34","NCT04648852","https://pubmed.ncbi.nlm.nih.gov/37248650","37248650"
"35","NCT04615520","https://pubmed.ncbi.nlm.nih.gov/36726191","36726191"
"36","NCT04609163","https://pubmed.ncbi.nlm.nih.gov/34752491","34752491"
"37","NCT04607083","https://pubmed.ncbi.nlm.nih.gov/35562098","35562098"
"38","NCT04605822","https://pubmed.ncbi.nlm.nih.gov/37453242","37453242"
"39","NCT04601415","https://pubmed.ncbi.nlm.nih.gov/34998740","34998740"
"40","NCT04592068","https://pubmed.ncbi.nlm.nih.gov/36878715","36878715"
"41","NCT04590716","https://pubmed.ncbi.nlm.nih.gov/37588667","37588667"
"42","NCT04563416","https://pubmed.ncbi.nlm.nih.gov/35992850","35992850"
"43","NCT04490005","https://pubmed.ncbi.nlm.nih.gov/37652068","37652068"
"44","NCT04490005","https://pubmed.ncbi.nlm.nih.gov/33980528","33980528"
"45","NCT04481620","https://pubmed.ncbi.nlm.nih.gov/37405504","37405504"
"46","NCT04479150","https://pubmed.ncbi.nlm.nih.gov/34535796","34535796"
"47","NCT04479150","https://pubmed.ncbi.nlm.nih.gov/33592888","33592888"
"48","NCT04463706","https://pubmed.ncbi.nlm.nih.gov/37249860","37249860"
"49","NCT04463706","https://pubmed.ncbi.nlm.nih.gov/35501359","35501359"
"50","NCT04463706","https://pubmed.ncbi.nlm.nih.gov/35143022","35143022"
"51","NCT04463706","https://pubmed.ncbi.nlm.nih.gov/35060833","35060833"
"52","NCT04463706","https://pubmed.ncbi.nlm.nih.gov/33400164","33400164"
"53","NCT04448353","https://pubmed.ncbi.nlm.nih.gov/34793923","34793923"
"54","NCT04448340","https://pubmed.ncbi.nlm.nih.gov/33550890","33550890"
"55","NCT04441372","https://pubmed.ncbi.nlm.nih.gov/35323932","35323932"
"56","NCT04383457","https://pubmed.ncbi.nlm.nih.gov/35651319","35651319"
"57","NCT04359355","https://pubmed.ncbi.nlm.nih.gov/34034272","34034272"
"58","NCT04357834","https://pubmed.ncbi.nlm.nih.gov/35613417","35613417"
"59","NCT04355507","https://pubmed.ncbi.nlm.nih.gov/34184935","34184935"
"60","NCT04349787","https://pubmed.ncbi.nlm.nih.gov/33368056","33368056"
"61","NCT04344327","https://pubmed.ncbi.nlm.nih.gov/33388386","33388386"
"62","NCT04321005","https://pubmed.ncbi.nlm.nih.gov/33888530","33888530"
"63","NCT04285112","https://pubmed.ncbi.nlm.nih.gov/35676017","35676017"
"64","NCT04285021","https://pubmed.ncbi.nlm.nih.gov/33495264","33495264"
"65","NCT04271657","https://pubmed.ncbi.nlm.nih.gov/34952679","34952679"
"66","NCT04261309","https://pubmed.ncbi.nlm.nih.gov/37490100","37490100"
"67","NCT04261309","https://pubmed.ncbi.nlm.nih.gov/36083174","36083174"
"68","NCT04261309","https://pubmed.ncbi.nlm.nih.gov/35725262","35725262"
"69","NCT04261309","https://pubmed.ncbi.nlm.nih.gov/35717179","35717179"
"70","NCT04261309","https://pubmed.ncbi.nlm.nih.gov/34535487","34535487"
"71","NCT04258891","https://pubmed.ncbi.nlm.nih.gov/34756569","34756569"
"72","NCT04251546","https://pubmed.ncbi.nlm.nih.gov/35463344","35463344"
"73","NCT04240652","https://pubmed.ncbi.nlm.nih.gov/33087340","33087340"
"74","NCT04240353","https://pubmed.ncbi.nlm.nih.gov/34462271","34462271"
"75","NCT04228614","https://pubmed.ncbi.nlm.nih.gov/34489309","34489309"
"76","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/35472215","35472215"
"77","NCT04219228","https://pubmed.ncbi.nlm.nih.gov/34740929","34740929"
"78","NCT04208971","https://pubmed.ncbi.nlm.nih.gov/36179758","36179758"
"79","NCT04208971","https://pubmed.ncbi.nlm.nih.gov/34033803","34033803"
"80","NCT04208789","https://pubmed.ncbi.nlm.nih.gov/33765092","33765092"
"81","NCT04196634","https://pubmed.ncbi.nlm.nih.gov/34061299","34061299"
"82","NCT04196634","https://pubmed.ncbi.nlm.nih.gov/32450820","32450820"
"83","NCT04169581","https://pubmed.ncbi.nlm.nih.gov/33420912","33420912"
"84","NCT04167891","https://pubmed.ncbi.nlm.nih.gov/37819544","37819544"
"85","NCT04162574","https://pubmed.ncbi.nlm.nih.gov/37525298","37525298"
"86","NCT04162574","https://pubmed.ncbi.nlm.nih.gov/37363967","37363967"
"87","NCT04162574","https://pubmed.ncbi.nlm.nih.gov/37214840","37214840"
"88","NCT04162574","https://pubmed.ncbi.nlm.nih.gov/35653175","35653175"
"89","NCT04162574","https://pubmed.ncbi.nlm.nih.gov/32546136","32546136"
"90","NCT04123509","https://pubmed.ncbi.nlm.nih.gov/33353741","33353741"
"91","NCT04123509","https://pubmed.ncbi.nlm.nih.gov/33039403","33039403"
"92","NCT04116983","https://pubmed.ncbi.nlm.nih.gov/37869160","37869160"
"93","NCT04109001","https://pubmed.ncbi.nlm.nih.gov/36203163","36203163"
"94","NCT04108598","https://pubmed.ncbi.nlm.nih.gov/32988948","32988948"
"95","NCT04092543","https://pubmed.ncbi.nlm.nih.gov/32849196","32849196"
"96","NCT04045639","https://pubmed.ncbi.nlm.nih.gov/33091585","33091585"
"97","NCT04044066","https://pubmed.ncbi.nlm.nih.gov/37620152","37620152"
"98","NCT04037163","https://pubmed.ncbi.nlm.nih.gov/36339124","36339124"
"99","NCT04037163","https://pubmed.ncbi.nlm.nih.gov/36222756","36222756"
"100","NCT04037163","https://pubmed.ncbi.nlm.nih.gov/35972355","35972355"
"101","NCT04037163","https://pubmed.ncbi.nlm.nih.gov/36338359","36338359"
"102","NCT04037163","https://pubmed.ncbi.nlm.nih.gov/34023270","34023270"
"103","NCT04037163","https://pubmed.ncbi.nlm.nih.gov/33248965","33248965"
"104","NCT04023188","https://pubmed.ncbi.nlm.nih.gov/32348254","32348254"
"105","NCT04015466","https://pubmed.ncbi.nlm.nih.gov/35692051","35692051"
"106","NCT04012281","https://pubmed.ncbi.nlm.nih.gov/34877828","34877828"
"107","NCT04012281","https://pubmed.ncbi.nlm.nih.gov/32895005","32895005"
"108","NCT04012281","https://pubmed.ncbi.nlm.nih.gov/32703590","32703590"
"109","NCT04009798","https://pubmed.ncbi.nlm.nih.gov/37337896","37337896"
"110","NCT04003558","https://pubmed.ncbi.nlm.nih.gov/34233259","34233259"
"111","NCT03977857","https://pubmed.ncbi.nlm.nih.gov/35029044","35029044"
"112","NCT03931083","https://pubmed.ncbi.nlm.nih.gov/37398043","37398043"
"113","NCT03931083","https://pubmed.ncbi.nlm.nih.gov/33371015","33371015"
"114","NCT03925506","https://pubmed.ncbi.nlm.nih.gov/32200083","32200083"
"115","NCT03905629","https://pubmed.ncbi.nlm.nih.gov/34185827","34185827"
"116","NCT03892551","https://pubmed.ncbi.nlm.nih.gov/35138670","35138670"
"117","NCT03892551","https://pubmed.ncbi.nlm.nih.gov/32336486","32336486"
"118","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/37179936","37179936"
"119","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/36710346","36710346"
"120","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/36397054","36397054"
"121","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/36336198","36336198"
"122","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/35575381","35575381"
"123","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/35246457","35246457"
"124","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/34911812","34911812"
"125","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/33971982","33971982"
"126","NCT03883568","https://pubmed.ncbi.nlm.nih.gov/32723735","32723735"
"127","NCT03880110","https://pubmed.ncbi.nlm.nih.gov/35610195","35610195"
"128","NCT03850457","https://pubmed.ncbi.nlm.nih.gov/36505277","36505277"
"129","NCT03847285","https://pubmed.ncbi.nlm.nih.gov/31269923","31269923"
"130","NCT03834792","https://pubmed.ncbi.nlm.nih.gov/36907376","36907376"
"131","NCT03826407","https://pubmed.ncbi.nlm.nih.gov/31320356","31320356"
"132","NCT03805373","https://pubmed.ncbi.nlm.nih.gov/33521537","33521537"
"133","NCT03782389","https://pubmed.ncbi.nlm.nih.gov/36693686","36693686"
"134","NCT03782389","https://pubmed.ncbi.nlm.nih.gov/32462372","32462372"
"135","NCT03773939","https://pubmed.ncbi.nlm.nih.gov/33436012","33436012"
"136","NCT03723317","https://pubmed.ncbi.nlm.nih.gov/32892294","32892294"
"137","NCT03711526","https://pubmed.ncbi.nlm.nih.gov/37948791","37948791"
"138","NCT03694912","https://pubmed.ncbi.nlm.nih.gov/33823929","33823929"
"139","NCT03694912","https://pubmed.ncbi.nlm.nih.gov/31963294","31963294"
"140","NCT03693378","https://pubmed.ncbi.nlm.nih.gov/35166713","35166713"
"141","NCT03693378","https://pubmed.ncbi.nlm.nih.gov/34643612","34643612"
"142","NCT03692936","https://pubmed.ncbi.nlm.nih.gov/35391840","35391840"
"143","NCT03692936","https://pubmed.ncbi.nlm.nih.gov/34974364","34974364"
"144","NCT03668249","https://pubmed.ncbi.nlm.nih.gov/34882644","34882644"
"145","NCT03662802","https://pubmed.ncbi.nlm.nih.gov/36942628","36942628"
"146","NCT03653156","https://pubmed.ncbi.nlm.nih.gov/36696990","36696990"
"147","NCT03641872","https://pubmed.ncbi.nlm.nih.gov/37517452","37517452"
"148","NCT03641872","https://pubmed.ncbi.nlm.nih.gov/36345143","36345143"
"149","NCT03641872","https://pubmed.ncbi.nlm.nih.gov/36052222","36052222"
"150","NCT03641872","https://pubmed.ncbi.nlm.nih.gov/35037228","35037228"
"151","NCT03641872","https://pubmed.ncbi.nlm.nih.gov/34412498","34412498"
"152","NCT03641872","https://pubmed.ncbi.nlm.nih.gov/33419900","33419900"
"153","NCT03641872","https://pubmed.ncbi.nlm.nih.gov/32109631","32109631"
"154","NCT03635710","https://pubmed.ncbi.nlm.nih.gov/30617104","30617104"
"155","NCT03619733","https://pubmed.ncbi.nlm.nih.gov/37306637","37306637"
"156","NCT03608709","https://pubmed.ncbi.nlm.nih.gov/34193084","34193084"
"157","NCT03577405","https://pubmed.ncbi.nlm.nih.gov/32526633","32526633"
"158","NCT03574025","https://pubmed.ncbi.nlm.nih.gov/32978195","32978195"
"159","NCT03562936","https://pubmed.ncbi.nlm.nih.gov/37395780","37395780"
"160","NCT03511430","https://pubmed.ncbi.nlm.nih.gov/32418720","32418720"
"161","NCT03488043","https://pubmed.ncbi.nlm.nih.gov/37603106","37603106"
"162","NCT03474341","https://pubmed.ncbi.nlm.nih.gov/30342494","30342494"
"163","NCT03474003","https://pubmed.ncbi.nlm.nih.gov/34620664","34620664"
"164","NCT03474003","https://pubmed.ncbi.nlm.nih.gov/31530561","31530561"
"165","NCT03458806","https://pubmed.ncbi.nlm.nih.gov/33899504","33899504"
"166","NCT03451734","https://pubmed.ncbi.nlm.nih.gov/37728803","37728803"
"167","NCT03451734","https://pubmed.ncbi.nlm.nih.gov/37468932","37468932"
"168","NCT03451734","https://pubmed.ncbi.nlm.nih.gov/33716832","33716832"
"169","NCT03451734","https://pubmed.ncbi.nlm.nih.gov/33716817","33716817"
"170","NCT03451734","https://pubmed.ncbi.nlm.nih.gov/33692676","33692676"
"171","NCT03451734","https://pubmed.ncbi.nlm.nih.gov/32528286","32528286"
"172","NCT03439449","https://pubmed.ncbi.nlm.nih.gov/36148691","36148691"
"173","NCT03439449","https://pubmed.ncbi.nlm.nih.gov/34570811","34570811"
"174","NCT03439449","https://pubmed.ncbi.nlm.nih.gov/33904821","33904821"
"175","NCT03439449","https://pubmed.ncbi.nlm.nih.gov/31969363","31969363"
"176","NCT03382223","https://pubmed.ncbi.nlm.nih.gov/32280086","32280086"
"177","NCT03362138","https://pubmed.ncbi.nlm.nih.gov/31101596","31101596"
"178","NCT03362138","https://pubmed.ncbi.nlm.nih.gov/30674442","30674442"
"179","NCT03352648","https://pubmed.ncbi.nlm.nih.gov/37227329","37227329"
"180","NCT03352648","https://pubmed.ncbi.nlm.nih.gov/36943075","36943075"
"181","NCT03352648","https://pubmed.ncbi.nlm.nih.gov/33792661","33792661"
"182","NCT03352648","https://pubmed.ncbi.nlm.nih.gov/29550015","29550015"
"183","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/29991631","29991631"
"184","NCT03300791","https://pubmed.ncbi.nlm.nih.gov/36635633","36635633"
"185","NCT03299010","https://pubmed.ncbi.nlm.nih.gov/33879090","33879090"
"186","NCT03299010","https://pubmed.ncbi.nlm.nih.gov/30327405","30327405"
"187","NCT03253432","https://pubmed.ncbi.nlm.nih.gov/34617591","34617591"
"188","NCT03248557","https://pubmed.ncbi.nlm.nih.gov/29885765","29885765"
"189","NCT03247049","https://pubmed.ncbi.nlm.nih.gov/33546615","33546615"
"190","NCT03247049","https://pubmed.ncbi.nlm.nih.gov/31879838","31879838"
"191","NCT03227211","https://pubmed.ncbi.nlm.nih.gov/35224712","35224712"
"192","NCT03224650","https://pubmed.ncbi.nlm.nih.gov/35181541","35181541"
"193","NCT03150680","https://pubmed.ncbi.nlm.nih.gov/35203258","35203258"
"194","NCT03150680","https://pubmed.ncbi.nlm.nih.gov/35118145","35118145"
"195","NCT03150680","https://pubmed.ncbi.nlm.nih.gov/34103005","34103005"
"196","NCT03110887","https://pubmed.ncbi.nlm.nih.gov/30819913","30819913"
"197","NCT03080623","https://pubmed.ncbi.nlm.nih.gov/33889025","33889025"
"198","NCT03054142","https://pubmed.ncbi.nlm.nih.gov/33407184","33407184"
"199","NCT03016936","https://pubmed.ncbi.nlm.nih.gov/37938844","37938844"
"200","NCT03016936","https://pubmed.ncbi.nlm.nih.gov/37012173","37012173"
"201","NCT03003182","https://pubmed.ncbi.nlm.nih.gov/34989842","34989842"
"202","NCT02992587","https://pubmed.ncbi.nlm.nih.gov/33724366","33724366"
"203","NCT02992587","https://pubmed.ncbi.nlm.nih.gov/32929483","32929483"
"204","NCT02992587","https://pubmed.ncbi.nlm.nih.gov/31304801","31304801"
"205","NCT02992067","https://pubmed.ncbi.nlm.nih.gov/31659631","31659631"
"206","NCT02955485","https://pubmed.ncbi.nlm.nih.gov/30021553","30021553"
"207","NCT02912624","https://pubmed.ncbi.nlm.nih.gov/36378565","36378565"
"208","NCT02912624","https://pubmed.ncbi.nlm.nih.gov/31931844","31931844"
"209","NCT02912624","https://pubmed.ncbi.nlm.nih.gov/31912438","31912438"
"210","NCT02912624","https://pubmed.ncbi.nlm.nih.gov/31670697","31670697"
"211","NCT02912624","https://pubmed.ncbi.nlm.nih.gov/31011425","31011425"
"212","NCT02912624","https://pubmed.ncbi.nlm.nih.gov/28963297","28963297"
"213","NCT02904577","https://pubmed.ncbi.nlm.nih.gov/31292118","31292118"
"214","NCT02898415","https://pubmed.ncbi.nlm.nih.gov/28989060","28989060"
"215","NCT02863211","https://pubmed.ncbi.nlm.nih.gov/29101147","29101147"
"216","NCT02833259","https://pubmed.ncbi.nlm.nih.gov/33177142","33177142"
"217","NCT02832102","https://pubmed.ncbi.nlm.nih.gov/34738049","34738049"
"218","NCT02805621","https://pubmed.ncbi.nlm.nih.gov/31422141","31422141"
"219","NCT02803086","https://pubmed.ncbi.nlm.nih.gov/34209562","34209562"
"220","NCT02803086","https://pubmed.ncbi.nlm.nih.gov/33639190","33639190"
"221","NCT02646943","https://pubmed.ncbi.nlm.nih.gov/35421085","35421085"
"222","NCT02646943","https://pubmed.ncbi.nlm.nih.gov/32459812","32459812"
"223","NCT02646943","https://pubmed.ncbi.nlm.nih.gov/30383777","30383777"
"224","NCT02646943","https://pubmed.ncbi.nlm.nih.gov/27147390","27147390"
"225","NCT02618538","https://pubmed.ncbi.nlm.nih.gov/37491482","37491482"
"226","NCT02618538","https://pubmed.ncbi.nlm.nih.gov/29166878","29166878"
"227","NCT02592135","https://pubmed.ncbi.nlm.nih.gov/31288565","31288565"
"228","NCT02581540","https://pubmed.ncbi.nlm.nih.gov/32518208","32518208"
"229","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/37747427","37747427"
"230","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/36705050","36705050"
"231","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/35292719","35292719"
"232","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/34330416","34330416"
"233","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/33620378","33620378"
"234","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/33081973","33081973"
"235","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/33059838","33059838"
"236","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/30541757","30541757"
"237","NCT02573532","https://pubmed.ncbi.nlm.nih.gov/29203498","29203498"
"238","NCT02569268","https://pubmed.ncbi.nlm.nih.gov/32738905","32738905"
"239","NCT02569268","https://pubmed.ncbi.nlm.nih.gov/31390128","31390128"
"240","NCT02569268","https://pubmed.ncbi.nlm.nih.gov/31341663","31341663"
"241","NCT02569268","https://pubmed.ncbi.nlm.nih.gov/29553852","29553852"
"242","NCT02555137","https://pubmed.ncbi.nlm.nih.gov/34127618","34127618"
"243","NCT02555137","https://pubmed.ncbi.nlm.nih.gov/29608809","29608809"
"244","NCT02546895","https://pubmed.ncbi.nlm.nih.gov/36512301","36512301"
"245","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/36892600","36892600"
"246","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/35737143","35737143"
"247","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/34893952","34893952"
"248","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/34446044","34446044"
"249","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/31485982","31485982"
"250","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/31140003","31140003"
"251","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/30793242","30793242"
"252","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/29921557","29921557"
"253","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/29869084","29869084"
"254","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/29563837","29563837"
"255","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/29378647","29378647"
"256","NCT02488161","https://pubmed.ncbi.nlm.nih.gov/27391216","27391216"
"257","NCT02466854","https://pubmed.ncbi.nlm.nih.gov/37478977","37478977"
"258","NCT02466854","https://pubmed.ncbi.nlm.nih.gov/34729148","34729148"
"259","NCT02466854","https://pubmed.ncbi.nlm.nih.gov/29407077","29407077"
"260","NCT02466854","https://pubmed.ncbi.nlm.nih.gov/28593789","28593789"
"261","NCT02466854","https://pubmed.ncbi.nlm.nih.gov/27738920","27738920"
"262","NCT02443389","https://pubmed.ncbi.nlm.nih.gov/31738181","31738181"
"263","NCT02443389","https://pubmed.ncbi.nlm.nih.gov/30546043","30546043"
"264","NCT02439554","https://pubmed.ncbi.nlm.nih.gov/29310641","29310641"
"265","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/37982865","37982865"
"266","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/37158171","37158171"
"267","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/37131096","37131096"
"268","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/37048135","37048135"
"269","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/36858602","36858602"
"270","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/35174220","35174220"
"271","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/34412811","34412811"
"272","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/34350455","34350455"
"273","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/34254126","34254126"
"274","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/33609133","33609133"
"275","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/32700543","32700543"
"276","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/32462911","32462911"
"277","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/31843947","31843947"
"278","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/31242362","31242362"
"279","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/30989318","30989318"
"280","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/30528623","30528623"
"281","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/30169752","30169752"
"282","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/30127037","30127037"
"283","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/30071991","30071991"
"284","NCT02355457","https://pubmed.ncbi.nlm.nih.gov/29525782","29525782"
"285","NCT02352207","https://pubmed.ncbi.nlm.nih.gov/34266941","34266941"
"286","NCT02341066","https://pubmed.ncbi.nlm.nih.gov/36622121","36622121"
"287","NCT02341066","https://pubmed.ncbi.nlm.nih.gov/32622695","32622695"
"288","NCT02341066","https://pubmed.ncbi.nlm.nih.gov/32424028","32424028"
"289","NCT02341066","https://pubmed.ncbi.nlm.nih.gov/29483841","29483841"
"290","NCT02304341","https://pubmed.ncbi.nlm.nih.gov/37971648","37971648"
"291","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/37682406","37682406"
"292","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/37600483","37600483"
"293","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/37180469","37180469"
"294","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/36527074","36527074"
"295","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/36264365","36264365"
"296","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/35897070","35897070"
"297","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/35648213","35648213"
"298","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/35526554","35526554"
"299","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/35153967","35153967"
"300","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/35112104","35112104"
"301","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/35065038","35065038"
"302","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/34959133","34959133"
"303","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/34904191","34904191"
"304","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/34302517","34302517"
"305","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/33854024","33854024"
"306","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/33622371","33622371"
"307","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/33246186","33246186"
"308","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/33060506","33060506"
"309","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/32747075","32747075"
"310","NCT02210221","https://pubmed.ncbi.nlm.nih.gov/32702336","32702336"
"311","NCT02086136","https://pubmed.ncbi.nlm.nih.gov/31220387","31220387"
"312","NCT02086136","https://pubmed.ncbi.nlm.nih.gov/29030346","29030346"
"313","NCT02070536","https://pubmed.ncbi.nlm.nih.gov/30183115","30183115"
"314","NCT02070536","https://pubmed.ncbi.nlm.nih.gov/29861796","29861796"
"315","NCT02042209","https://pubmed.ncbi.nlm.nih.gov/31623657","31623657"
"316","NCT02039622","https://pubmed.ncbi.nlm.nih.gov/33624069","33624069"
"317","NCT02025699","https://pubmed.ncbi.nlm.nih.gov/30086729","30086729"
"318","NCT02022878","https://pubmed.ncbi.nlm.nih.gov/25700748","25700748"
"319","NCT01987921","https://pubmed.ncbi.nlm.nih.gov/36821787","36821787"
"320","NCT01987921","https://pubmed.ncbi.nlm.nih.gov/34331019","34331019"
"321","NCT01987921","https://pubmed.ncbi.nlm.nih.gov/32620676","32620676"
"322","NCT01987921","https://pubmed.ncbi.nlm.nih.gov/27959707","27959707"
"323","NCT01987921","https://pubmed.ncbi.nlm.nih.gov/26719818","26719818"
"324","NCT01987921","https://pubmed.ncbi.nlm.nih.gov/25882434","25882434"
"325","NCT01970969","https://pubmed.ncbi.nlm.nih.gov/29534064","29534064"
"326","NCT01962506","https://pubmed.ncbi.nlm.nih.gov/26169889","26169889"
"327","NCT01915615","https://pubmed.ncbi.nlm.nih.gov/26299218","26299218"
"328","NCT01902407","https://pubmed.ncbi.nlm.nih.gov/28356179","28356179"
"329","NCT01891240","https://pubmed.ncbi.nlm.nih.gov/24314209","24314209"
"330","NCT01873287","https://pubmed.ncbi.nlm.nih.gov/32499388","32499388"
"331","NCT01873287","https://pubmed.ncbi.nlm.nih.gov/31316452","31316452"
"332","NCT01873287","https://pubmed.ncbi.nlm.nih.gov/23906960","23906960"
"333","NCT01838148","https://pubmed.ncbi.nlm.nih.gov/36714921","36714921"
"334","NCT01838148","https://pubmed.ncbi.nlm.nih.gov/35220448","35220448"
"335","NCT01838148","https://pubmed.ncbi.nlm.nih.gov/35112976","35112976"
"336","NCT01838148","https://pubmed.ncbi.nlm.nih.gov/31905377","31905377"
"337","NCT01838148","https://pubmed.ncbi.nlm.nih.gov/29667014","29667014"
"338","NCT01838148","https://pubmed.ncbi.nlm.nih.gov/29107010","29107010"
"339","NCT01838148","https://pubmed.ncbi.nlm.nih.gov/26708172","26708172"
"340","NCT01802398","https://pubmed.ncbi.nlm.nih.gov/33504514","33504514"
