NCT,study_start,final_decision,study_posted,overall_status,PMID,match,reject_reason,title,abstract,grant_info,pub_date,pub_type_ui,doi,registration,pub_after_study_start,posted_before_pub,NCT_in_main_text,note
NCT03899350,15/04/2019,include,2/04/2019,Recruiting,36017768,0,NA,A Scoring System for Predicting Neoadjuvant Chemotherapy Response in Primary High-Grade Bone Sarcomas: A Multicenter Study.,"Currently, there is a lack of good clinical tools for evaluating the effect of chemotherapy preoperatively on primary high-grade bone sarcomas. Our goal was to investigate the predictive value of the clinical findings and establish a scoring system to predict chemotherapy response.We conducted a retrospective multicenter cohort study and reviewed 322 patients with primary high-grade bone sarcomas. Patients who routinely received neoadjuvant chemotherapy and underwent primary tumor resection with an assessment of tumor necrosis rate (TNR) were enrolled in this study. The medical records of patients were collected from November 1, 2011, to March 1, 2018, at Peking University People's Hospital (PKUPH) and Peking University Shougang Hospital (PKUSH). The mean age of the patients was 16.2 years (range 3-52 years), of whom 65.5% were male. The clinical data collected before and after neoadjuvant chemotherapy included the degree of pain, laboratory inspection, X-ray, CT, contrast-enhanced magnetic resonance (MR), and positron emission tomography-computed tomography (PET-CT). Several machine learning models, including logistic regression, decision trees, support vector machines, and neural networks, were used to classify the chemotherapy responses. Area under the curve (AUC) of the scoring system to predict chemotherapy response is the primary outcome measure.For patients without events, a minimum follow-up of 24 months was achieved. The median follow-up time was 43.3 months, and it ranged from 24 to 84 months. The 5 years progression-free survival (PFS) of the included patients was 54.1%. The 5 years PFS rate was 39.7% for poor responders and 74.9% for good responders. Features such as longest diameter reduction ratio (up to three points), clear bone boundary formation (up to two points), tumor necrosis measured by magnetic resonance (up to two points), maximum standard uptake value (SUVmax ) decrease (up to three points), and significant alkaline phosphatase decrease (up to 1 point) were identified as significant predictors of good histological response and constituted the scoring system. A score ≥4 predicts a good response to chemotherapy. The scoring system based on the above factors performed well, achieving an AUC of 0.893. For nonmeasurable lesions (classified by the revised Response Evaluation Criteria in Solid Tumors [RECIST 1.1]), the AUC was 0.901.We first devised a well-performing comprehensive scoring system to predict the response to neoadjuvant chemotherapy in primary high-grade bone sarcomas.© 2022 The Authors. Orthopaedic Surgery published by Tianjin Hospital and John Wiley & Sons Australia, Ltd.",2199000730|Medical Service and Security Capacity Enhancement Project||82072970|National Natural Science Foundation of China|,27/08/2022,D016428;D016448,10.1111/os.13469,NA,1,1,,
NCT03899623,23/04/2018,include,2/04/2019,Unknown status,33540169,0,NA,Detection of Diabetic Retinopathy from Ultra-Widefield Scanning Laser Ophthalmoscope Images: A Multicenter Deep Learning Analysis.,"To develop a deep learning (DL) system that can detect referable diabetic retinopathy (RDR) and vision-threatening diabetic retinopathy (VTDR) from images obtained on ultra-widefield scanning laser ophthalmoscope (UWF-SLO).Observational, cross-sectional study.A total of 9392 UWF-SLO images of 1903 eyes from 1022 subjects with diabetes from Hong Kong, the United Kingdom, India, and Argentina.All images were labeled according to the presence or absence of RDR and the presence or absence of VTDR. Labeling was performed by retina specialists from fundus examination, according to the International Clinical Diabetic Retinopathy Disease Severity Scale. Three convolutional neural networks (ResNet50) were trained with a transfer-learning procedure for assessing gradability and identifying VTDR and RDR. External validation was performed on 4 datasets spanning different geographical regions.Area under the receiver operating characteristic curve (AUROC); area under the precision-recall curve (AUPRC); sensitivity, specificity, and accuracy of the DL system in gradability assessment; and detection of RDR and VTDR.For gradability assessment, the system achieved an AUROC of 0.923 (95% confidence interval [CI], 0.892-0.947), sensitivity of 86.5% (95% CI, 77.6-92.8), and specificity of 82.1% (95% CI, 77.3-86.2) for the primary validation dataset, and >0.82 AUROCs, >79.6% sensitivity, and >70.4% specificity for the geographical external validation datasets. For detecting RDR and VTDR, the AUROCs were 0.981 (95% CI, 0.977-0.984) and 0.966 (95% CI, 0.961-0.971), with sensitivities of 94.9% (95% CI, 92.3-97.9) and 87.2% (95% CI, 81.5-91.6), specificities of 95.1% (95% CI, 90.6-97.9) and 95.8% (95% CI, 93.3-97.6), and positive predictive values (PPVs) of 98.0% (95% CI, 96.1-99.0) and 91.1% (95% CI, 86.3-94.3) for the primary validation dataset, respectively. The AUROCs and accuracies for detecting both RDR and VTDR were >0.9% and >80%, respectively, for the geographical external validation datasets. The AUPRCs were >0.9, and sensitivities, specificities, and PPVs were >80% for the geographical external validation datasets for RDR and VTDR detection.The excellent performance achieved with this DL system for image quality assessment and detection of RDR and VTDR in UWF-SLO images highlights its potential as an efficient and effective diabetic retinopathy screening tool.Copyright © 2021 American Academy of Ophthalmology. Published by Elsevier Inc. All rights reserved.",NA,5/02/2021,D016428;D016448;D064888;D013485,10.1016/j.oret.2021.01.013,NA,1,1,,
NCT03911297,1/06/2019,include,11/04/2019,Recruiting,31222771,0,NA,"Effect of hyperinsulinaemia and insulin resistance on endocrine, metabolic and fertility outcomes in women with polycystic ovary syndrome undergoing ovulation induction.","The aim of this study was to evaluate the effects of hyperinsulinaemia and insulin resistance (IR) on reproductive and metabolic disorders and fertility in women with polycystic ovary syndrome (PCOS).This was a multicenter, randomized controlled trial involving a total of 1000 women diagnosed with PCOS according to the modified Rotterdam criteria at 21 sites (27 hospitals). We evaluated the effects of serum insulin levels and HOMA-IR on parameters and outcomes. The main outcome measures were anthropometric, biometric and ultrasound parameters at baseline and the clinical outcomes of ovulation, conception, pregnancy, live birth and pregnancy loss.The relevant analysis between hyperinsulinaemia and IR and clinical characteristics showed that weight, waist and hip circumference, BMI, waist-to-hip ratio, acanthosis nigricans score and menstrual period were significantly correlated with fasting insulin (FIN) and HOMA-IR. There was no significant correlation between the hirsutism score or acne score with FIN or HOMA-IR. The relevant analysis between hyperinsulinaemia and IR and circulating sex steroids and gonadotrophins showed that FAI was significantly correlated with FIN and HOMA-IR (r = 0.240, P < 0.001 and r = 0.191, P < 0.001, respectively). Free testosterone was significantly correlated with FIN after adjusting for the influence of age. LH and LH/FSH were not related to FIN or HOMA-IR after statistical correction for differences in BMI. The relevant analysis between hyperinsulinaemia and IR and metabolic profile showed that FIN and HOMA-IR were positively associated with fasting glucose, cholesterol, triglycerides, low-density lipoprotein, Apo B, and the incidence of metabolic syndrome and were negatively associated with high-density lipoprotein. The predictive analysis between hyperinsulinaemia and IR with fertility showed that the levels of FIN and HOMA-IR were related to the fertility outcome (ovulation, pregnancy, conception or live birth) in patients with PCOS. After adjustments for age, total testosterone and free testosterone, increasing serum insulin levels and HOMA-IR were significantly associated with decreased cycle ovulation, conception, pregnancy and live birth rates.Hyperinsulinaemia and IR are associated with reproductive and metabolic disorders and can predict the fertility outcomes in PCOS patients.© 2019 John Wiley & Sons Ltd.",NA,22/06/2019,D016428;D016448;D016449;D013485,10.1111/cen.14050,NCT01573858,1,1,,
NCT03911323,1/10/2018,include,11/04/2019,Unknown status,33540169,0,NA,Detection of Diabetic Retinopathy from Ultra-Widefield Scanning Laser Ophthalmoscope Images: A Multicenter Deep Learning Analysis.,"To develop a deep learning (DL) system that can detect referable diabetic retinopathy (RDR) and vision-threatening diabetic retinopathy (VTDR) from images obtained on ultra-widefield scanning laser ophthalmoscope (UWF-SLO).Observational, cross-sectional study.A total of 9392 UWF-SLO images of 1903 eyes from 1022 subjects with diabetes from Hong Kong, the United Kingdom, India, and Argentina.All images were labeled according to the presence or absence of RDR and the presence or absence of VTDR. Labeling was performed by retina specialists from fundus examination, according to the International Clinical Diabetic Retinopathy Disease Severity Scale. Three convolutional neural networks (ResNet50) were trained with a transfer-learning procedure for assessing gradability and identifying VTDR and RDR. External validation was performed on 4 datasets spanning different geographical regions.Area under the receiver operating characteristic curve (AUROC); area under the precision-recall curve (AUPRC); sensitivity, specificity, and accuracy of the DL system in gradability assessment; and detection of RDR and VTDR.For gradability assessment, the system achieved an AUROC of 0.923 (95% confidence interval [CI], 0.892-0.947), sensitivity of 86.5% (95% CI, 77.6-92.8), and specificity of 82.1% (95% CI, 77.3-86.2) for the primary validation dataset, and >0.82 AUROCs, >79.6% sensitivity, and >70.4% specificity for the geographical external validation datasets. For detecting RDR and VTDR, the AUROCs were 0.981 (95% CI, 0.977-0.984) and 0.966 (95% CI, 0.961-0.971), with sensitivities of 94.9% (95% CI, 92.3-97.9) and 87.2% (95% CI, 81.5-91.6), specificities of 95.1% (95% CI, 90.6-97.9) and 95.8% (95% CI, 93.3-97.6), and positive predictive values (PPVs) of 98.0% (95% CI, 96.1-99.0) and 91.1% (95% CI, 86.3-94.3) for the primary validation dataset, respectively. The AUROCs and accuracies for detecting both RDR and VTDR were >0.9% and >80%, respectively, for the geographical external validation datasets. The AUPRCs were >0.9, and sensitivities, specificities, and PPVs were >80% for the geographical external validation datasets for RDR and VTDR detection.The excellent performance achieved with this DL system for image quality assessment and detection of RDR and VTDR in UWF-SLO images highlights its potential as an efficient and effective diabetic retinopathy screening tool.Copyright © 2021 American Academy of Ophthalmology. Published by Elsevier Inc. All rights reserved.",NA,5/02/2021,D016428;D016448;D064888;D013485,10.1016/j.oret.2021.01.013,NA,1,1,,
NCT03915925,30/09/2018,include,16/04/2019,Completed,35748352,0,NA,Electrocardiographic findings associated with early clinical deterioration in acute pulmonary embolism.,"We sought to determine associations of early electrocardiogram (ECG) patterns with clinical deterioration (CD) within 5 days and with RV abnormality (abnlRV) by echocardiography in pulmonary embolism (PE).In this prospective, multicenter study of newly confirmed PE patients, early echocardiography and initial ECG were examined. Initial ECG patterns included lead-specific ST-segment elevation (STE) or depression (STD), T-wave inversion (TWI), supraventricular tachycardia (SVT), sinus tachycardia, and right bundle branch block as complete (cRBBB) or incomplete (iRBBB). We defined CD as respiratory failure, hypotension, dysrhythmia, cardiac arrest, escalated PE intervention, or death within 5 days. We calculated odds ratios (ORs) for CD and abnlRV with univariate and full multivariate models in the presence of other variables.Of 1676 patients, 1629 (97.2%) had both ECG and GDE; 415/1676 (24.7%) had CD, and 529/1629 (32.4%) had abnlRV. AbnlRV had an OR for CD of 4.25 (3.35, 5.38). By univariable analysis, the absence of abnormal ECG patterns had OR for CD and abnlRV of 0.34 (0.26, 0.44; p < 0.001) and 0.24 (0.18, 0.31; p < 0.001), respectively. By multivariable analyses, one ECG pattern had a significant OR for CD: SVT 2.87 (1.66, 5.00). Significant ORS for abnlRV were: TWI V2-4 4.0 (2.64, 6.12), iRBBB 2.63 (1.59, 4.38), STE aVR 2.42 (1.58, 3.74), S1-Q3-T3 2.42 (1.70, 3.47), and sinus tachycardia 1.68 (1.14, 2.49).SVT was an independent predictor of CD. TWI V2-4 , iRBBB, STE aVR, sinus tachycardia, and S1-Q3-T3 were independent predictors of abnlRV. Finding one or more of these ECG patterns may increase considerations for performance of echocardiography to look for RV abnormalities and, if present, inform concerns for early clinical deterioration.© 2022 The Authors. Academic Emergency Medicine published by Wiley Periodicals LLC on behalf of Society for Academic Emergency Medicine.",R01 HS025979|AHRQ HHS|United States,25/06/2022,D016428;D016448;D013486,10.1111/acem.14554,NA,1,1,,
NCT03921697,23/04/2019,include,19/04/2019,Unknown status,35022304,0,NA,Long-term Effect of Regular Physical Activity and Exercise Habits in Patients With Early Parkinson Disease.,"Owing to the lack of long-term observations or comprehensive adjustment for confounding factors, reliable conclusions regarding long-term effects of exercise and regular physical activity in Parkinson disease (PD) have yet to be drawn. Here, using data from the Parkinson's Progression Markers Initiative study that includes longitudinal and comprehensive evaluations of many clinical parameters, we examined the long-term effects of regular physical activity and exercise habits on the course of PD.In this retrospective, observational cohort study, we primarily used the multivariate linear mixed-effects models to analyze the interaction effects of their regular physical activity and moderate to vigorous exercise levels, measured with the Physical Activity Scale for the Elderly questionnaire, on the progression of clinical parameters, after adjusting for age, sex, levodopa equivalent dose, and disease duration. We also calculated bootstrapping 95% confidence intervals (CIs) and conducted sensitivity analyses using the multiple imputation method and subgroup analyses using propensity score matching to match for all baseline background factors.Two hundred thirty-seven patients with early PD (median [interquartile range] age, 63.0 [56.0-70.0] years, male 69.2%, follow-up duration 5.0 [4.0-6.0] years) were included. Regular physical activity and moderate to vigorous exercise levels at baseline did not significantly affect the subsequent clinical progression of PD. However, average regular overall physical activity levels over time were significantly associated with slower deterioration of postural and gait stability (standardized fixed-effects coefficients of the interaction term [βinteraction] = -0.10 [95% CI -0.14 to -0.06]), activities of daily living (βinteraction = 0.08 [95% CI 0.04-0.12]), and processing speed (βinteraction = 0.05 [95% CI 0.03-0.08]) in patients with PD. Moderate to vigorous exercise levels were preferentially associated with slower decline of postural and gait stability (βinteraction = -0.09 [95% CI -0.13 to -0.05]), and work-related activity levels were primarily associated with slower deterioration of processing speed (βinteraction = 0.07 [95% CI 0.04-0.09]). Multiple imputation and propensity score matching confirmed the robustness of our results.In the long term, the maintenance of high regular physical activity levels and exercise habits was robustly associated with better clinical course of PD, with each type of physical activity having different effects.ClinicalTrials.gov Identifier: NCT01176565.This study provides Class II evidence that sustained increase in overall regular physical activity levels in patients with early PD was associated with slower decline of several clinical parameters.Copyright © 2022 The Author(s). Published by Wolters Kluwer Health, Inc. on behalf of the American Academy of Neurology.",NA,14/01/2022,D016428;D064888;D013485,10.1212/WNL.0000000000013218,NCT01176565,1,1,,
NCT03931083,1/05/2019,include,30/04/2019,Recruiting,33198721,0,NA,Screening test accuracy of portable devices that can be used to perform colposcopy for detecting CIN2+ in low- and middle-income countries: a systematic review and meta-analysis.,"Portable devices that can be used to perform colposcopy may improve cervical cancer screening in low- and middle-income countries (LMIC) where access to colposcopy is limited. The objective of this study was to systematically review the diagnostic test accuracy (DTA) of these devices for the detection of cervical intraepithelial neoplasia grade 2 or higher (CIN2+).In accordance with our protocol (Prospero CRD42018104286), we searched Embase, Medline and the Cochrane Controlled Register of Trials up to 9/2019. We included DTA studies, which investigated portable devices with moderate-to-high optical magnification (≥ 6×) for colposcopy, as described in the manual for Colposcopy and Treatment by the International Agency for Research on Cancer, with a histopathological reference standard. We used the QUADAS-2 tool to assess study quality. We examined results for sensitivity and specificity in paired forest plots, stratified by stages in the clinical pathway. We pooled estimates of test accuracy for the index test, used as an add-on to other tests, using a bivariate random-effect model.We screened 1737 references and assessed 239 full-text articles for eligibility. Five single-gate DTA studies, including 2693 women, met the inclusion criteria. Studies evaluated two devices (Gynocular™ and Pocket) at different stages of the screening pathway. In three studies, which used the index test in an add-on capacity in 1273 women, we found a pooled sensitivity of 0.79 (95% CI 0.55-0.92) and specificity of 0.83 (95% CI 0.59-0.94). The main sources of bias were partial verification, incorporation and classification bias.Few studies have evaluated portable devices able to perform colposcopy, so their accuracy for the detection of CIN2+ remains uncertain. Future studies should include patient-relevant and long-term outcomes, including missed cases, overtreatment, residual and recurrent disease. To meet the challenge of eliminating cervical cancer in LMIC, methods for visual assessment of the cervix need urgent redress.",U01 AI069924|NIAID NIH HHS|United States|171222|ESTHER Switzerland||U01AI069924|National Institute of Allergy and Infectious Diseases of the National Institutes of Health||KFS-4156-02-2017|Krebsforschung Schweiz|,18/11/2020,D016428;D017418;D013485;D000078182,10.1186/s12905-020-01121-3,NA,1,1,,
NCT03932500,22/03/2018,include,30/04/2019,Unknown status,33685640,0,NA,Associations of On-arrival Vital Signs with 24-hour In-hospital Mortality in Adult Trauma Patients Admitted to Four Public University Hospitals in Urban India: A Prospective Multi-Centre Cohort Study.,"In India, more than a million people die annually due to injuries. Identifying the patients at risk of early mortality (within 24 hour of hospital arrival) is essential for triage. A bilateral Government Australia-India Trauma System Collaboration generated a trauma registry in the context of India, which yielded a cohort of trauma patients for systematic observation and interventions. The aim of this study was to determine the independent association of on-arrival vital signs and Glasgow Coma Score (GCS) with 24-hour mortality among adult trauma patients admitted at four university public hospitals in urban India.We performed an analysis of a prospective multicentre observational study of trauma patients across four urban public university hospitals in India, between April 2016 and February 2018. The primary outcome was 24-hour in-hospital mortality. We used logistic regression to determine mutually independent associations of the vital signs and GCS with 24-hour mortality.A total of 7497 adult patients (18 years and above) were included. The 24-hour mortality was 1.9%. In univariable logistic regression, Glasgow Coma Score (GCS) and the vital signs systolic blood pressure (SBP), heart rate (HR), respiratory rate (RR) and peripheral capillary oxygen saturation (SpO2) had statistically significant associations with 24-hour mortality. These relationships held in multivariable analysis with hypotension (SBP<90mm Hg), tachycardia (HR>100bpm) and bradycardia (HR<60bpm), hypoxia (SpO2<90%), Tachypnoea (RR>20brpm) and severe (3-8) and moderate (9-12) GCS having strong association with 24-hour mortality. Notably, the patients with missing values for SBP, HR and RR also demonstrated higher odds of 24-hour mortality. The Injury Severity Scores (ISS) did not corelate with 24-hour mortality.The routinely measured GCS and vital signs including SBP, HR, SpO2 and RR are independently associated with 24-hour in-hospital mortality in the context of university hospitals of urban India. These easily measured parameters in the emergency setting may help improve decision-making and guide further management in the trauma victims. A poor short-term prognosis was also observed in patients in whom these physiological variables were not recorded.Copyright © 2021 The Author(s). Published by Elsevier Ltd.. All rights reserved.",NA,10/03/2021,D016428;D016448;D064888,10.1016/j.injury.2021.02.075,NA,1,1,,
NCT03934645,1/11/2017,include,2/05/2019,Completed,33873005,0,NA,Influence of intraoperative and postoperative factors on the predictive capacity of the delirium risk model for cardiac surgery patients (DELIPRECAS): An observational multicentre study.,NA,NA,20/04/2021,D016422;D016448;D064888,10.1016/j.jclinane.2021.110282,NA,1,1,,
NCT03934775,1/05/2019,include,2/05/2019,Unknown status,35849736,0,NA,"Performance of Early Capillary Refill Time Measurement on Outcomes in Cardiogenic Shock: An Observational, Prospective Multicentric Study.","Rationale: Identification of cardiogenic shock severity is a critical step to adapt the management level upon admission. Peripheral tissue perfusion signs, simple and reliable markers of tissue hypoperfusion have never been extensively assessed during cardiogenic shock. Objectives: To assess the correlation of capillary refill time values with 90-day mortality in cardiogenic shock patients or the need for venoarterial extracorporeal membrane oxygenation (VA-ECMO) support. Also to assess the correlation between capillary refill time and hemodynamic parameters. Methods: All consecutive patients with cardiogenic shock admitted to the intensive care unit of two tertiary teaching hospitals were included in a prospective observational study. Macro-hemodynamic parameters (such as heart rate, blood pressure, left ventricular ejection fraction, and cardiac index) and peripheral tissue perfusion signs, such as capillary refill time on the index fingertip, mottling, and Pv-aCO2 (the difference between partial pressure of CO2 between venous and arterial blood) were recorded at inclusion (0 hour), 6 hours, 12 hours, 24 hours, and 48 hours. The composite primary endpoint was the association between 90-day mortality or the need for VA-ECMO support. Measurements and Main Results: A total of 61 patients were included; at inclusion, simplified acute physiology score II was 64 (52-77) points. The primary endpoint was met by 42% of patients. Capillary refill time values were significantly higher at all time points in nonsurvivors or patients needing VA-ECMO support. In univariate analysis, capillary refill time > 3 seconds at inclusion was associated with 90-day all-cause mortality or VA-ECMO support (hazard ratio, 12.38; 95% confidence interval, 2.91-52.71). Capillary refill time at inclusion was poorly associated with macrocirculatory parameters but significantly correlated with microcirculatory parameters. Further, capillary refill time added incremental value to Cardshock score, with an AUC combination at 0.93. Conclusions: In patients with cardiogenic shock admitted to the ICU, our preliminary data suggest that a prolonged capillary refill time >3 seconds was associated with an early prediction of 90-day mortality or the need for VA-ECMO support.",NA,19/07/2022,D064888;D016448;D016428,10.1164/rccm.202204-0687OC,NA,1,1,,
NCT03935360,1/06/2019,include,2/05/2019,Recruiting,35622365,0,NA,Comparison of Risk Scores for Lower Gastrointestinal Bleeding: A Systematic Review and Meta-analysis.,"Clinical prediction models, or risk scores, can be used to risk stratify patients with lower gastrointestinal bleeding (LGIB), although the most discriminative score is unknown.To identify all LGIB risk scores available and compare their prognostic performance.A systematic search of Ovid MEDLINE, Embase, and the Cochrane Central Register of Controlled Trials from January 1, 1990, through August 31, 2021, was conducted. Non-English-language articles were excluded.Observational and interventional studies deriving or validating an LGIB risk score for the prediction of a clinical outcome were included. Studies including patients younger than 16 years or limited to a specific patient population or a specific cause of bleeding were excluded. Two investigators independently screened the studies, and disagreements were resolved by consensus.Data were abstracted according to the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) guideline independently by 2 investigators and pooled using random-effects models.Summary diagnostic performance measures (sensitivity, specificity, and area under the receiver operating characteristic curve [AUROC]) determined a priori were calculated for each risk score and outcome combination.A total of 3268 citations were identified, of which 9 studies encompassing 12 independent cohorts and 4 risk scores (Oakland, Strate, NOBLADS [nonsteroidal anti-inflammatory drug use, no diarrhea, no abdominal tenderness, blood pressure ≤100 mm Hg, antiplatelet drug use (nonaspirin), albumin <3.0 g/dL, disease score ≥2 (according to the Charlson Comorbidity Index), and syncope], and BLEED [ongoing bleeding, low systolic blood pressure, elevated prothrombin time, erratic mental status, and unstable comorbid disease]) were included in the meta-analysis. For the prediction of safe discharge, the AUROC for the Oakland score was 0.86 (95% CI, 0.82-0.88). For major bleeding, the AUROC was 0.93 (95% CI, 0.90-0.95) for the Oakland score, 0.73 (95% CI, 0.69-0.77) for the Strate score, 0.58 (95% CI, 0.53-0.62) for the NOBLADS score, and 0.65 (95% CI, 0.61-0.69) for the BLEED score. For transfusion, the AUROC was 0.99 (95% CI, 0.98-1.00) for the Oakland score and 0.88 (95% CI, 0.85-0.90) for the NOBLADS score. For hemostasis, the AUROC was 0.36 (95% CI, 0.32-0.40) for the Oakland score, 0.82 (95% CI, 0.79-0.85) for the Strate score, and 0.24 (95% CI, 0.20-0.28) for the NOBLADS score.The Oakland score was the most discriminative LGIB risk score for predicting safe discharge, major bleeding, and need for transfusion, whereas the Strate score was best for predicting need for hemostasis. This study suggests that these scores can be used to predict outcomes from LGIB and guide clinical care accordingly.",NA,28/05/2022,D016428;D017418;D000078182,10.1001/jamanetworkopen.2022.14253,NA,1,1,,
NCT03941639,1/06/2019,include,8/05/2019,Recruiting,34315306,0,NA,"Thermal analysis of laser irradiation-gold nanorod combinations at 808 nm, 940 nm, 975 nm and 1064 nm wavelengths in breast cancer model.","Photothermal therapy is currently under the spotlight to improve the efficacy of minimally invasive thermal treatment of solid tumors. The interplay of several factors including the radiation wavelengths and the nanoparticle characteristics underlie the thermal outcome. However, a quantitative thermal analysis in in vivo models embedding nanoparticles and under different near-infrared (NIR) wavelengths is missing.We evaluate the thermal effects induced by different combinations of NIR laser wavelengths and gold nanorods (GNRs) in breast cancer tumor models in mice.Four laser wavelengths within the therapeutic window, i.e., 808, 940, 975, and 1064 nm were employed, and corresponding GNRs were intratumorally injected. The tissue thermal response was evaluated in terms of temperature profile and time constants, considering the step response of a first-order system as a model.The 808 nm and 1064 nm lasers experienced the highest temperature enhancements (>24%) in presence of GNRs compared to controls; conversely, 975 nm and 940 nm lasers showed high temperatures in controls due to significant tissue absorption and the lowest temperature difference with and without GNRs (temperature enhancement <10%). The presence of GNRs resulted in small time constants, thus quicker laser-induced thermal response (from 67 s to 33 s at 808 nm).The thermal responses of different GNR-laser wavelength combinations quantitatively validate the widespread usage of 808 nm laser for nanoparticle-assisted photothermal procedures. Moreover, our results provide insights on other usable wavelengths, toward the identification of an effective photothermal treatment strategy for the removal of focal malignancies.",NA,29/07/2021,D016428;D013485,10.1080/02656736.2021.1956601,NA,1,1,,
NCT03946566,1/06/2019,include,10/05/2019,Unknown status,35773693,0,NA,The efficacy and safety of acupuncture combined with language training for motor aphasia after stroke: study protocol for a multicenter randomized sham-controlled trial.,"Motor aphasia after stroke is a common and intractable complication of stroke. Acupuncture and language training may be an alternative and effective approach. However, the efficacy of acupuncture and language training for motor aphasia after stroke has not been confirmed. The main objectives of this trial are to evaluate the effectiveness and safety of acupuncture and low-intensity, low-dose language training in treating ischemic motor aphasia after stroke from 15 to 90 days.This is a multicenter randomized sham-controlled clinical trial. We will allocate 252 subjects aged between 45 and 75 years diagnosed with motor aphasia after stroke with an onset time ranging from 15 to 90 days into two groups randomly in a 1:1 ratio. Patients in the experimental group will be treated with ""Xing-Nao Kai-Qiao"" acupuncture therapy plus language training, and those in the control group will be treated with sham-acupoint (1 cun next to the acupoints) acupuncture therapy plus language training. All the patients will be given acupuncture and language training for 6 weeks, with a follow-up evaluation 6 weeks after the end of the treatment and 6 months after the onset time. The patients will mainly be evaluated using the Western Aphasia Battery and Chinese Functional Communication Profile, and the incidence of treatment-related adverse events at the 2nd, 4th, and 6th weeks of treatment will be recorded. The baseline characteristics of the patients will be summarized by group, the chi-squared test will be used to compare categorical variables, and repeated measures of analysis of variance or a linear mixed model will be applied to analyze the changes measured at different time points.The present study is designed to investigate the effectiveness and safety of traditional acupuncture therapy and language training in ischemic motor aphasia after stroke and explore the correlation between the treatment time and clinical effect of acupuncture. We hope our results will help doctors understand and utilize acupuncture combined with language training.ChiCTR ChiCTR1900026740 . Registered on 20 October 2019.© 2022. The Author(s).",2018YFC1706001|the National Key R&D Program of China|,1/07/2022,D000078325;D016428,10.1186/s13063-022-06280-2,NA,1,1,,
NCT03948048,1/06/2019,include,13/05/2019,Recruiting,33583718,0,NA,The Effectiveness of Levosimendan on Veno-Arterial Extracorporeal Membrane Oxygenation Management and Outcome: A Systematic Review and Meta-Analysis.,"Veno-arterial extracorporeal membrane oxygenation (VA-ECMO) provides a temporary support system for patients with cardiogenic shock refractory to conventional medical therapies. It has been reported that levosimendan may facilitate VA-ECMO weaning and improve survival. The primary objective of this review was to examine the effect of levosimendan use on VA-ECMO weaning and mortality in critically ill patients on VA-ECMO.MEDLINE, EMBASE, and CENTRAL were searched. A pair of reviewers identified eligible clinical trials. Two reviewers extracted data and independently assessed the risk of bias. A random-effect model was used to combine data. The primary outcome was the success of weaning from VA-ECMO.Seven studies of observational design, including a total of 630 patients, were selected in the final analysis. The sample size ranged from ten-to-240 patients, with a mean age between 53 and 65 years, and more than half of them underwent cardiac surgeries. The VA-ECMO durations varied between four and 11.6 days. Overall, levosimendan use was significantly associated with successful weaning compared with control (odds ratio [OR] 2.89, 95% CI, 1.53-5.46; poverall effect = 0.001); I2 = 49%). For survival, six studies (n = 617) were included in the meta-analysis involving 326 patients in the levosimendan group and 291 in the comparator group. Pooled results showed a significantly higher survival rate in the levosimendan group (OR 0.46, 95% CI, 0.30-0.71; poverall effect = 0.0004; I2 = 20%).Levosimendan therapy was significantly associated with successful weaning and survival benefit in patients with cardiogenic or postcardiotomy shock needing VA-ECMO support for severe cardiocirculatory compromise. To date, there is limited literature and absence of evidence from randomized trials addressing the use of levosimendan in VA-ECMO weaning. This study may be considered a hypothesis-generating research for randomized controlled trials to confirm its findings.Copyright © 2021 The Authors. Published by Elsevier Inc. All rights reserved.",NA,16/02/2021,D016428;D017418;D016454;D000078182,10.1053/j.jvca.2021.01.019,NA,1,1,,
