NCT,study_posted,study_start,overall_status,pmid,title,pub_date_entrez,match,reason,note,,,posted_before_pub
NCT01161381,13/07/2010,15/11/2005,Completed,19964987,Screening of patients with Obstructive Sleep Apnea Syndrome using C4.5 algorithm based on non linear analysis of respiratory signals during sleep.,8/12/2009,0,,published before posted on ct,,,0
NCT01161381,13/07/2010,15/11/2005,Completed,26937681,Evaluation of a Decision Support System for Obstructive Sleep Apnea with Nonlinear Analysis of Respiratory Signals.,4/03/2016,1,,,,,1
NCT01166360,21/07/2010,15/01/2008,Completed,27717384,Preoperative plasma growth-differentiation factor-15 for prediction of acute kidney injury in patients undergoing cardiac surgery.,9/10/2016,1,,,,,1
NCT01166360,21/07/2010,15/01/2008,Completed,23391200,Growth differentiation factor 15: a novel risk marker adjunct to the EuroSCORE for risk stratification in cardiac surgery patients.,9/02/2013,1,,,,,1
NCT01194024,2/09/2010,15/05/2010,Completed,37352120,Predictors and Impact of Pneumonia on Adverse Outcomes in Inhalation Injury Patients.,23/06/2023,0,,multivariable analysis,,,1
NCT01276678,13/01/2011,15/06/2010,Unknown status,24763965,Statin therapy and thromboxane generation in patients with coronary artery disease treated with high-dose aspirin.,26/04/2014,0,,other,,,1
NCT01276678,13/01/2011,15/06/2010,Unknown status,31218482,Gender differences in thrombogenicity among patients with angina and non-obstructive coronary artery disease.,21/06/2019,0,,other,,,1
NCT01276678,13/01/2011,15/06/2010,Unknown status,30626544,HDL3-C is a Marker of Coronary Artery Disease Severity and Inflammation in Patients on Statin Therapy.,11/01/2019,0,,biomarker,,,1
NCT01325883,30/03/2011,15/05/2011,Completed,27589870,The effect of neoadjuvant chemotherapy and chemoradiotherapy on exercise capacity and outcome following upper gastrointestinal cancer surgery: an observational cohort study.,4/09/2016,0,,protocol,,,1
NCT01346709,3/05/2011,1/05/2011,Completed,21544025,PERISCOPE study: predicting post-operative pulmonary complications in Europe.,6/05/2011,0,,protocol,,,1
NCT01346709,3/05/2011,15/05/2011,Completed,26020123,"Development and validation of a score to predict postoperative respiratory failure in a multicentre European cohort: A prospective, observational study.",29/05/2015,1,,,,,1
NCT01346709,3/05/2011,15/05/2011,Completed,24901240,Prospective external validation of a predictive score for postoperative pulmonary complications.,6/06/2014,1,,,,,1
NCT01346709,3/05/2011,15/05/2011,Completed,30431500,Development of a prediction model for postoperative pneumonia: A multicentre prospective observational study.,16/11/2018,1,,,,,1
NCT01353131,12/05/2011,15/05/2010,Completed,26806840,"Screening for Cardiac Magnetic Resonance Scar Features by 12-Lead ECG, in Patients with Preserved Ejection Fraction.",26/01/2016,0,,other,,,1
NCT01353131,12/05/2011,15/05/2010,Completed,24620844,Number of P-wave fragmentations on P-SAECG correlates with infiltrated atrial fat.,14/03/2014,0,,other,,,1
NCT01353131,12/05/2011,15/05/2010,Completed,24485635,Infiltrated atrial fat characterizes underlying atrial fibrillation substrate in patients at risk as defined by the ARIC atrial fibrillation risk score.,4/02/2014,0,,multivariable analysis,,,1
NCT01353547,13/05/2011,15/03/2010,Recruiting,28114441,Assessment of Early Evidence of Multiple Sclerosis in a Prospective Study of Asymptomatic High-Risk Family Members.,24/01/2017,0,,other,,,1
NCT01357057,20/05/2011,15/01/2003,Completed,22363051,An admission bioclinical score to predict 1-year outcomes in patients undergoing aneurysm coiling.,25/02/2012,1,,,,,1
NCT01363856,2/06/2011,15/02/2010,Unknown status,36247749,Low ankle-brachial index and cognitive function after stroke-the PROSpective with Incident Stroke Berlin (PROSCIS-B).,17/10/2022,0,,adjusted prognostic factor study,,,1
NCT01363856,2/06/2011,15/02/2010,Unknown status,33982599,High-Sensitivity Cardiac Troponin T and Recurrent Vascular Events After First Ischemic Stroke.,13/05/2021,0,,biomarker,,,1
NCT01363856,2/06/2011,15/02/2010,Unknown status,33184230,Endothelial and Leukocyte-Derived Microvesicles and Cardiovascular Risk After Stroke: PROSCIS-B.,13/11/2020,0,,adjusted prognostic factor study,,,1
NCT01363856,2/06/2011,15/02/2010,Unknown status,32279621,High-Sensitivity Cardiac Troponin T and Cognitive Function in Patients With Ischemic Stroke.,14/04/2020,0,,adjusted prognostic factor study,,,1
NCT01363856,2/06/2011,15/02/2010,Unknown status,31526121,Serum Anti-NMDA (N-Methyl-D-Aspartate)-Receptor Antibodies and Long-Term Clinical Outcome After Stroke (PROSCIS-B).,19/09/2019,0,,biomarker,,,1
NCT01363856,2/06/2011,15/02/2010,Unknown status,22928669,Prediction of vascular risk after stroke - protocol and pilot data of the Prospective Cohort with Incident Stroke (PROSCIS).,30/08/2012,0,,protocol,,,1
NCT01363856,2/06/2011,15/02/2010,Unknown status,37848651,Associations of C-reactive protein with depressive symptoms over time after mild to moderate ischemic stroke in the PROSCIS-B cohort.,17/10/2023,0,,adjusted prognostic factor study,,,1
NCT01364168,2/06/2011,15/02/2011,Recruiting,30256828,Outcome after stroke attributable to baseline factors-The PROSpective Cohort with Incident Stroke (PROSCIS).,27/09/2018,0,,multivariable analysis,,,1
NCT01364168,2/06/2011,15/02/2011,Recruiting,22928669,Prediction of vascular risk after stroke - protocol and pilot data of the Prospective Cohort with Incident Stroke (PROSCIS).,30/08/2012,0,,protocol,,,1
NCT01392365,12/07/2011,15/07/2011,Completed,28682807,Development and Validation of a Novel Prediction Model for Differential Diagnosis Between Crohn's Disease and Intestinal Tuberculosis.,7/07/2017,1,,,,,1
NCT01420588,19/08/2011,15/08/2011,Completed,23462808,A nanomaterial-based breath test for distinguishing gastric cancer from benign gastric conditions.,7/03/2013,1,,,,,1
NCT01420588,19/08/2011,15/08/2011,Completed,25869737,Detection of precancerous gastric lesions and gastric cancer through exhaled breath.,15/04/2015,1,,,,,1
NCT01452802,17/10/2011,15/10/2011,Completed,28611126,Patient-Reported Health-Related Quality of Life Is a Predictor of Outcomes in Ambulatory Heart Failure Patients Treated With Left Ventricular Assist Device Compared With Medical Management: Results From the ROADMAP Study (Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management).,15/06/2017,0,,biomarker,,,1
NCT01452802,17/10/2011,15/10/2011,Completed,28465311,Accuracy of Seattle Heart Failure Model and HeartMate II Risk Score in Non-Inotrope-Dependent Advanced Heart Failure Patients: Insights From the ROADMAP Study (Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients).,4/05/2017,1,,,,,1
NCT01452802,17/10/2011,15/10/2011,Completed,28396040,Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients: The ROADMAP Study 2-Year Results.,12/04/2017,0,,other,,,1
NCT01452802,17/10/2011,15/10/2011,Completed,26483097,Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients: Results From the ROADMAP Study.,21/10/2015,0,,other,,,1
NCT01582763,23/04/2012,15/04/2012,"Active, not recruiting",34937789,Predicting Outcome in Guillain-Barré Syndrome: International Validation of the Modified Erasmus GBS Outcome Score.,23/12/2021,1,,,,,1
NCT01582763,23/04/2012,15/04/2012,"Active, not recruiting",28406555,International Guillain-Barré Syndrome Outcome Study: protocol of a prospective observational cohort study on clinical and biological predictors of disease course and outcome in Guillain-Barré syndrome.,14/04/2017,0,,protocol,,,1
NCT01587573,30/04/2012,15/04/2012,Unknown status,27411053,Validation of Reference Genes for Oral Cancer Detection Panels in a Prospective Blinded Cohort.,14/07/2016,0,,biomarker,,,1
NCT01609465,1/06/2012,15/01/2010,Unknown status,21249668,Clopidogrel plus aspirin versus aspirin alone for preventing cardiovascular disease.,21/01/2011,0,,other,,,0
NCT01609465,1/06/2012,15/01/2010,Unknown status,21225900,Multiple imputation using chained equations: Issues and guidance for practice.,13/01/2011,0,,other,,,0
NCT01609465,1/06/2012,15/01/2010,Unknown status,21204120,Extensions of net reclassification improvement calculations to measure usefulness of new biomarkers.,5/01/2011,0,,other,,,0
NCT01609465,1/06/2012,15/01/2010,Unknown status,20805624,Comparative determinants of 4-year cardiovascular event rates in stable outpatients at risk of or with atherothrombosis.,1/09/2010,0,,other,,,0
NCT01698632,3/10/2012,15/09/2012,"Active, not recruiting",32732303,Validation of models to diagnose ovarian cancer in patients managed surgically or conservatively: multicentre cohort study.,1/08/2020,1,,,,,1
NCT01698632,3/10/2012,15/09/2012,"Active, not recruiting",30737137,"Risk of complications in patients with conservatively managed ovarian tumours (IOTA5): a 2-year interim analysis of a multicentre, prospective, cohort study.",10/02/2019,0,,other,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,33504514,Development of an electrocardiogram-based risk calculator for a cardiac cause of syncope.,28/01/2021,0,,multiple NCT but this NCT is the validation cohort for another study.,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,31668571,Risk Stratification of Older Adults Who Present to the Emergency Department With Syncope: The FAINT Score.,1/11/2019,1,,,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,31080027,Clinical Benefit of Hospitalization for Older Adults With Unexplained Syncope: A Propensity-Matched Analysis.,14/05/2019,0,,,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,30721554,Do High-sensitivity Troponin and Natriuretic Peptide Predict Death or Serious Cardiac Outcomes After Syncope?,6/02/2019,0,,adjusted prognostic factor study,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,30691921,Prevalence of Pulmonary Embolism Among Emergency Department Patients With Syncope: A Multicenter Prospective Cohort Study.,30/01/2019,0,,other,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,30529112,Comparison of 30-Day Serious Adverse Clinical Events for Elderly Patients Presenting to the Emergency Department With Near-Syncope Versus Syncope.,12/12/2018,0,,other,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,30361153,Recurrent syncope is not an independent risk predictor for future syncopal events or adverse outcomes.,27/10/2018,0,,adjusted prognostic factor study,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,30255862,Predictors of Clinically Significant Echocardiography Findings in Older Adults with Syncope: A Secondary Analysis.,27/09/2018,1,,,,,1
NCT01802398,1/03/2013,15/04/2013,Completed,29275946,ECG Predictors of Cardiac Arrhythmias in Older Adults With Syncope.,26/12/2017,1,,,,,1
NCT01826760,8/04/2013,15/04/2010,Completed,23490369,A model to predict 3-month mortality risk of acute-on-chronic hepatitis B liver failure using artificial neural network.,16/03/2013,0,,,,,0
NCT01838148,23/04/2013,15/05/2004,Recruiting,35220448,Gut microbiota-dependent metabolite trimethylamine N-oxide (TMAO) and cardiovascular risk in patients with suspected functionally relevant coronary artery disease (fCAD).,27/02/2022,0,,biomarker,,,1
NCT01838148,23/04/2013,15/05/2004,Recruiting,35112976,Soluble urokinase plasminogen activator receptor and functionally relevant coronary artery disease: a prospective cohort study.,3/02/2022,0,,biomarker,,,1
NCT01838148,23/04/2013,15/05/2004,Recruiting,31905377,Using High-Sensitivity Cardiac Troponin for the Exclusion of Inducible Myocardial Ischemia in Symptomatic Patients: A Cohort Study.,7/01/2020,0,,biomarker,,,1
NCT01838148,23/04/2013,15/05/2004,Recruiting,29667014,Automatically computed ECG algorithm for the quantification of myocardial scar and the prediction of mortality.,19/04/2018,0,,"PI is a listed author, but pub is automatic calculation of an existing score, not in line with study aim to develop",,,1
NCT01838148,23/04/2013,15/05/2004,Recruiting,29107010,Combining high-sensitivity cardiac troponin and B-type natriuretic peptide in the detection of inducible myocardial ischemia.,7/11/2017,1,,,,,1
NCT01838148,23/04/2013,15/05/2004,Recruiting,26708172,Direct comparison of cardiac troponin I and cardiac troponin T in the detection of exercise-induced myocardial ischemia.,29/12/2015,0,,biomarker,,,1
NCT01838148,23/04/2013,15/05/2004,Recruiting,36714921,Serum neurofilament light chain in functionally relevant coronary artery disease and adverse cardiovascular outcomes.,30/01/2023,0,,biomarker,,,1
NCT01873287,10/06/2013,1/08/2013,Completed,23906960,Predicting and preventing postconcussive problems in paediatrics (5P) study: protocol for a prospective multicentre clinical prediction rule derivation study in children with concussion.,3/08/2013,0,,protocol,,,1
NCT01873287,10/06/2013,15/08/2013,Completed,32499388,Parent-Child Agreement on Postconcussion Symptoms in the Acute Postinjury Period.,6/06/2020,1,,,,,1
NCT01873287,10/06/2013,15/08/2013,Completed,31316452,The Stability of Retrospective Pre-injury Symptom Ratings Following Pediatric Concussion.,19/07/2019,0,,other,,,1
NCT01891240,3/07/2013,15/07/2013,Unknown status,24314209,A multi-centre phase IIa clinical study of predictive testing for preeclampsia: improved pregnancy outcomes via early detection (IMPROvED).,10/12/2013,0,,protocol,,,1
NCT01902407,18/07/2013,15/03/2011,Enrolling by invitation,28356179,Upper Airway Reflexes are Preserved During Dexmedetomidine Sedation in Children With Down Syndrome and Obstructive Sleep Apnea.,31/03/2017,0,,biomarker,,,1
NCT01915615,5/08/2013,15/11/2013,"Active, not recruiting",26299218,"Hypertrophic Cardiomyopathy Registry: The rationale and design of an international, observational study of hypertrophic cardiomyopathy.",25/08/2015,0,,protocol,,,1
NCT01962506,14/10/2013,15/12/2012,Unknown status,26169889,Ultra-Sensitive Copeptin and Cardiac Troponin in Diagnosing Non-ST-Segment Elevation Acute Coronary Syndromes--The COPACS Study.,15/07/2015,1,,,,,1
NCT01970969,28/10/2013,15/09/2013,Completed,29534064,Validation of a genetic risk score for atrial fibrillation: A prospective multicenter cohort study.,14/03/2018,1,,,,,1
NCT01987921,20/11/2013,15/01/2014,Completed,25882434,"Assessment of Worldwide Acute Kidney Injury, Renal Angina and Epidemiology in critically ill children (AWARE): study protocol for a prospective observational study.",18/04/2015,0,,protocol,,,1
NCT01987921,20/11/2013,15/01/2014,Completed,26719818,"Assessment of Worldwide Acute Kidney Injury, Renal Angina and Epidemiology in Critically Ill Children (AWARE): A Prospective Study to Improve Diagnostic Precision.",1/01/2016,0,,protocol,,,1
NCT01987921,20/11/2013,15/01/2014,Completed,34331019,Acute kidney injury in critically Ill children and young adults with suspected SARS-CoV2 infection.,31/07/2021,0,,multivariable analysis,,,1
