"NCT","study_posted","study_start","overall_status","pmid","title","pub_date_entrez"
"NCT00787839",2008-11-10,2009-05-01,"Completed","20587721","Screening adults for pre-diabetes and diabetes may be cost-saving.",2010-07-01
"NCT00787839",2008-11-10,2009-05-01,"Completed","21112654","Validity of the primary care diagnosis of diabetes in veterans in the southeastern United States.",2010-11-30
"NCT00787839",2008-11-10,2009-05-01,"Completed","19557386","Glucose challenge test screening for prediabetes and undiagnosed diabetes.",2009-06-27
"NCT00787839",2008-11-10,2009-05-01,"Completed","20053533","Association of glycemic load with cardiovascular disease risk factors: the Women's Health Initiative Observational Study.",2010-01-08
"NCT00787839",2008-11-10,2009-05-01,"Completed","21115761","Screening for diabetes and prediabetes with proposed A1C-based diagnostic criteria: comment on Olson et al.",2010-12-01
"NCT00787839",2008-11-10,2009-05-01,"Completed","21940514","A diet high in low-fat dairy products lowers diabetes risk in postmenopausal women.",2011-09-24
"NCT00787839",2008-11-10,2009-05-01,"Completed","22071707","Biomarker-calibrated dietary energy and protein intake associations with diabetes risk among postmenopausal women from the Women's Health Initiative.",2011-11-11
"NCT00787839",2008-11-10,2009-05-01,"Completed","22689798","Diabetes, metformin, and breast cancer in postmenopausal women.",2012-06-13
"NCT00787839",2008-11-10,2009-05-01,"Completed","22833490","Determinants of racial/ethnic disparities in incidence of diabetes in postmenopausal women in the U.S.: The Women's Health Initiative 1993-2009.",2012-07-27
"NCT00787839",2008-11-10,2009-05-01,"Completed","22829448","A prospective study of leukocyte telomere length and risk of type 2 diabetes in postmenopausal women.",2012-07-26
"NCT00787839",2008-11-10,2009-05-01,"Completed","23408092","Sagittal abdominal diameter and visceral adiposity: correlates of beta-cell function and dysglycemia in severely obese women.",2013-02-15
"NCT00787839",2008-11-10,2009-05-01,"Completed","22847240","Diabetes: normal glucose levels should be the goal.",2012-08-01
"NCT00809575",2008-12-17,2008-10-01,"Active, not recruiting","24478321","Preference for involvement in treatment decisions and request for prognostic information in newly diagnosed patients with higher-risk myelodysplastic syndromes.",2014-01-31
"NCT00809575",2008-12-17,2008-10-01,"Active, not recruiting","26120100","Accuracy of physician assessment of treatment preferences and health status in elderly patients with higher-risk myelodysplastic syndromes.",2015-06-30
"NCT00809575",2008-12-17,2008-10-01,"Active, not recruiting","25272332","Prevalence, severity and correlates of fatigue in newly diagnosed patients with myelodysplastic syndromes.",2014-10-02
"NCT00809575",2008-12-17,2008-10-01,"Active, not recruiting","26404501","Prognostic value of self-reported fatigue on overall survival in patients with myelodysplastic syndromes: a multicentre, prospective, observational, cohort study.",2015-09-26
"NCT00809575",2008-12-17,2008-10-01,"Active, not recruiting","29231969","Patient-reported outcomes enhance the survival prediction of traditional disease risk classifications: An international study in patients with myelodysplastic syndromes.",2017-12-13
"NCT00809575",2008-12-17,2008-10-01,"Active, not recruiting","32086447","The IPSS-R more accurately captures fatigue severity of newly diagnosed patients with myelodysplastic syndromes compared with the IPSS index.",2020-02-23
"NCT00821379",2009-01-13,2008-04-01,"Completed","30590587","Pre-Conception Characteristics Predict Obstetrical and Neonatal Outcomes in Women With Polycystic Ovary Syndrome.",2018-12-28
"NCT00821379",2009-01-13,2008-04-01,"Completed","28778282","Increased rates of complications in singleton pregnancies of women previously diagnosed with polycystic ovary syndrome predominantly in the hyperandrogenic phenotype.",2017-08-06
"NCT00821379",2009-01-13,2008-04-01,"Completed","28228318","Endocrine and cardiometabolic cord blood characteristics of offspring born to mothers with and without polycystic ovary syndrome.",2017-02-24
"NCT00821379",2009-01-13,2008-04-01,"Completed","26498178","Placental characteristics in women with polycystic ovary syndrome.",2015-10-27
"NCT00821379",2009-01-13,2008-04-01,"Completed","25840428","Insulin action in women with polycystic ovary syndrome and its relation to gestational diabetes.",2015-04-04
"NCT00821379",2009-01-13,2008-04-01,"Completed","24777850","Preconception predictors of gestational diabetes: a multicentre prospective cohort study on the predominant complication of pregnancy in polycystic ovary syndrome.",2014-04-30
"NCT00821379",2009-01-13,2008-04-01,"Completed","23739218","Fasting glucose measurement as a potential first step screening for glucose metabolism abnormalities in women with anovulatory polycystic ovary syndrome.",2013-06-07
"NCT00821379",2009-01-13,2008-04-01,"Completed","22633255","High singleton live birth rate confirmed after ovulation induction in women with anovulatory polycystic ovary syndrome: validation of a prediction model for clinical practice.",2012-05-29
"NCT00821379",2009-01-13,2008-04-01,"Completed","20943702","Sex hormone-binding globulin concentrations before conception as a predictor for gestational diabetes in women with polycystic ovary syndrome.",2010-10-15
"NCT00961389",2009-08-19,2009-05-01,"Unknown status","22323509","Development and validation of PRE-DELIRIC (PREdiction of DELIRium in ICu patients) delirium prediction model for intensive care patients: observational multicentre study.",2012-02-11
"NCT00969657",2009-09-01,2009-08-01,"Completed","24309199","International data-sharing for radiotherapy research: an open-source based infrastructure for multicentric clinical data mining.",2013-12-07
"NCT01079728",2010-03-03,2010-02-01,"Completed","27733675","Stroke-induced immunodepression and dysphagia independently predict stroke-associated pneumonia - The PREDICT study.",2016-10-14
"NCT01079728",2010-03-03,2010-02-01,"Completed","33280547","External Validation of Five Scores to Predict Stroke-Associated Pneumonia and the Role of Selected Blood Biomarkers.",2020-12-07
"NCT01079728",2010-03-03,2010-02-01,"Completed","30828313","IL-6 Plasma Levels Correlate With Cerebral Perfusion Deficits and Infarct Sizes in Stroke Patients Without Associated Infections.",2019-03-05
"NCT01079728",2010-03-03,2010-02-01,"Completed","32098866","Inflammatory and stress markers predicting pneumonia, outcome, and etiology in patients with stroke: Biomarkers for predicting pneumonia, functional outcome, and death after stroke.",2020-02-27
"NCT01079728",2010-03-03,2010-02-01,"Completed","31269910","Biomarkers of immune capacity, infection and inflammation are associated with poor outcome and mortality after stroke - the PREDICT study.",2019-07-05
"NCT01079728",2010-03-03,2010-02-01,"Completed","33288717","Transfer RNA fragments replace microRNA regulators of the cholinergic poststroke immune blockade.",2020-12-08
"NCT01130402",2010-05-26,2009-06-01,"Completed","19693943","Real-time and computerized sonographic scoring system for predicting malignant cervical lymphadenopathy.",2009-08-21
"NCT01161381",2010-07-13,2005-11-01,"Completed","19964987","Screening of patients with Obstructive Sleep Apnea Syndrome using C4.5 algorithm based on non linear analysis of respiratory signals during sleep.",2009-12-08
"NCT01161381",2010-07-13,2005-11-01,"Completed","26937681","Evaluation of a Decision Support System for Obstructive Sleep Apnea with Nonlinear Analysis of Respiratory Signals.",2016-03-04
"NCT01166360",2010-07-21,2008-01-01,"Completed","27717384","Preoperative plasma growth-differentiation factor-15 for prediction of acute kidney injury in patients undergoing cardiac surgery.",2016-10-09
"NCT01166360",2010-07-21,2008-01-01,"Completed","23391200","Growth differentiation factor 15: a novel risk marker adjunct to the EuroSCORE for risk stratification in cardiac surgery patients.",2013-02-09
"NCT01194024",2010-09-02,2010-05-01,"Completed","37352120","Predictors and Impact of Pneumonia on Adverse Outcomes in Inhalation Injury Patients.",2023-06-23
"NCT01276678",2011-01-13,2010-06-01,"Unknown status","24763965","Statin therapy and thromboxane generation in patients with coronary artery disease treated with high-dose aspirin.",2014-04-26
"NCT01276678",2011-01-13,2010-06-01,"Unknown status","31218482","Gender differences in thrombogenicity among patients with angina and non-obstructive coronary artery disease.",2019-06-21
"NCT01276678",2011-01-13,2010-06-01,"Unknown status","30626544","HDL3-C is a Marker of Coronary Artery Disease Severity and Inflammation in Patients on Statin Therapy.",2019-01-11
"NCT01325883",2011-03-30,2011-05-01,"Completed","27589870","The effect of neoadjuvant chemotherapy and chemoradiotherapy on exercise capacity and outcome following upper gastrointestinal cancer surgery: an observational cohort study.",2016-09-04
"NCT01346709",2011-05-03,2011-05-01,"Completed","26020123","Development and validation of a score to predict postoperative respiratory failure in a multicentre European cohort: A prospective, observational study.",2015-05-29
"NCT01346709",2011-05-03,2011-05-01,"Completed","24901240","Prospective external validation of a predictive score for postoperative pulmonary complications.",2014-06-06
"NCT01346709",2011-05-03,2011-05-01,"Completed","21544025","PERISCOPE study: predicting post-operative pulmonary complications in Europe.",2011-05-06
"NCT01346709",2011-05-03,2011-05-01,"Completed","30431500","Development of a prediction model for postoperative pneumonia: A multicentre prospective observational study.",2018-11-16
"NCT01353131",2011-05-12,2010-05-01,"Completed","26806840","Screening for Cardiac Magnetic Resonance Scar Features by 12-Lead ECG, in Patients with Preserved Ejection Fraction.",2016-01-26
"NCT01353131",2011-05-12,2010-05-01,"Completed","24620844","Number of P-wave fragmentations on P-SAECG correlates with infiltrated atrial fat.",2014-03-14
"NCT01353131",2011-05-12,2010-05-01,"Completed","24485635","Infiltrated atrial fat characterizes underlying atrial fibrillation substrate in patients at risk as defined by the ARIC atrial fibrillation risk score.",2014-02-04
"NCT01353547",2011-05-13,2010-03-01,"Recruiting","28114441","Assessment of Early Evidence of Multiple Sclerosis in a Prospective Study of Asymptomatic High-Risk Family Members.",2017-01-24
"NCT01357057",2011-05-20,2003-01-01,"Completed","22363051","An admission bioclinical score to predict 1-year outcomes in patients undergoing aneurysm coiling.",2012-02-25
"NCT01363856",2011-06-02,2010-02-01,"Unknown status","36247749","Low ankle-brachial index and cognitive function after stroke-the PROSpective with Incident Stroke Berlin (PROSCIS-B).",2022-10-17
"NCT01363856",2011-06-02,2010-02-01,"Unknown status","33982599","High-Sensitivity Cardiac Troponin T and Recurrent Vascular Events After First Ischemic Stroke.",2021-05-13
"NCT01363856",2011-06-02,2010-02-01,"Unknown status","33184230","Endothelial and Leukocyte-Derived Microvesicles and Cardiovascular Risk After Stroke: PROSCIS-B.",2020-11-13
"NCT01363856",2011-06-02,2010-02-01,"Unknown status","32279621","High-Sensitivity Cardiac Troponin T and Cognitive Function in Patients With Ischemic Stroke.",2020-04-14
"NCT01363856",2011-06-02,2010-02-01,"Unknown status","31526121","Serum Anti-NMDA (N-Methyl-D-Aspartate)-Receptor Antibodies and Long-Term Clinical Outcome After Stroke (PROSCIS-B).",2019-09-19
"NCT01363856",2011-06-02,2010-02-01,"Unknown status","22928669","Prediction of vascular risk after stroke - protocol and pilot data of the Prospective Cohort with Incident Stroke (PROSCIS).",2012-08-30
"NCT01363856",2011-06-02,2010-02-01,"Unknown status","37848651","Associations of C-reactive protein with depressive symptoms over time after mild to moderate ischemic stroke in the PROSCIS-B cohort.",2023-10-17
"NCT01364168",2011-06-02,2011-02-01,"Recruiting","30256828","Outcome after stroke attributable to baseline factors-The PROSpective Cohort with Incident Stroke (PROSCIS).",2018-09-27
"NCT01364168",2011-06-02,2011-02-01,"Recruiting","22928669","Prediction of vascular risk after stroke - protocol and pilot data of the Prospective Cohort with Incident Stroke (PROSCIS).",2012-08-30
"NCT01392365",2011-07-12,2011-07-01,"Completed","28682807","Development and Validation of a Novel Prediction Model for Differential Diagnosis Between Crohn's Disease and Intestinal Tuberculosis.",2017-07-07
"NCT01420588",2011-08-19,2011-08-01,"Completed","23462808","A nanomaterial-based breath test for distinguishing gastric cancer from benign gastric conditions.",2013-03-07
"NCT01420588",2011-08-19,2011-08-01,"Completed","25869737","Detection of precancerous gastric lesions and gastric cancer through exhaled breath.",2015-04-15
"NCT01452802",2011-10-17,2011-10-01,"Completed","28611126","Patient-Reported Health-Related Quality of Life Is a Predictor of Outcomes in Ambulatory Heart Failure Patients Treated With Left Ventricular Assist Device Compared With Medical Management: Results From the ROADMAP Study (Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management).",2017-06-15
"NCT01452802",2011-10-17,2011-10-01,"Completed","28465311","Accuracy of Seattle Heart Failure Model and HeartMate II Risk Score in Non-Inotrope-Dependent Advanced Heart Failure Patients: Insights From the ROADMAP Study (Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients).",2017-05-04
"NCT01452802",2011-10-17,2011-10-01,"Completed","28396040","Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients: The ROADMAP Study 2-Year Results.",2017-04-12
"NCT01452802",2011-10-17,2011-10-01,"Completed","26483097","Risk Assessment and Comparative Effectiveness of Left Ventricular Assist Device and Medical Management in Ambulatory Heart Failure Patients: Results From the ROADMAP Study.",2015-10-21
"NCT01582763",2012-04-23,2012-04-01,"Active, not recruiting","34937789","Predicting Outcome in Guillain-Barré Syndrome: International Validation of the Modified Erasmus GBS Outcome Score.",2021-12-23
"NCT01582763",2012-04-23,2012-04-01,"Active, not recruiting","28406555","International Guillain-Barré Syndrome Outcome Study: protocol of a prospective observational cohort study on clinical and biological predictors of disease course and outcome in Guillain-Barré syndrome.",2017-04-14
"NCT01587573",2012-04-30,2012-04-01,"Unknown status","27411053","Validation of Reference Genes for Oral Cancer Detection Panels in a Prospective Blinded Cohort.",2016-07-14
"NCT01609465",2012-06-01,2010-01-01,"Unknown status","21249668","Clopidogrel plus aspirin versus aspirin alone for preventing cardiovascular disease.",2011-01-21
"NCT01609465",2012-06-01,2010-01-01,"Unknown status","21225900","Multiple imputation using chained equations: Issues and guidance for practice.",2011-01-13
"NCT01609465",2012-06-01,2010-01-01,"Unknown status","21204120","Extensions of net reclassification improvement calculations to measure usefulness of new biomarkers.",2011-01-05
"NCT01609465",2012-06-01,2010-01-01,"Unknown status","20805624","Comparative determinants of 4-year cardiovascular event rates in stable outpatients at risk of or with atherothrombosis.",2010-09-01
"NCT01698632",2012-10-03,2012-09-01,"Active, not recruiting","32732303","Validation of models to diagnose ovarian cancer in patients managed surgically or conservatively: multicentre cohort study.",2020-08-01
"NCT01698632",2012-10-03,2012-09-01,"Active, not recruiting","30737137","Risk of complications in patients with conservatively managed ovarian tumours (IOTA5): a 2-year interim analysis of a multicentre, prospective, cohort study.",2019-02-10
"NCT01802398",2013-03-01,2013-04-01,"Completed","33504514","Development of an electrocardiogram-based risk calculator for a cardiac cause of syncope.",2021-01-28
"NCT01802398",2013-03-01,2013-04-01,"Completed","31668571","Risk Stratification of Older Adults Who Present to the Emergency Department With Syncope: The FAINT Score.",2019-11-01
"NCT01802398",2013-03-01,2013-04-01,"Completed","31080027","Clinical Benefit of Hospitalization for Older Adults With Unexplained Syncope: A Propensity-Matched Analysis.",2019-05-14
"NCT01802398",2013-03-01,2013-04-01,"Completed","30721554","Do High-sensitivity Troponin and Natriuretic Peptide Predict Death or Serious Cardiac Outcomes After Syncope?",2019-02-06
"NCT01802398",2013-03-01,2013-04-01,"Completed","30691921","Prevalence of Pulmonary Embolism Among Emergency Department Patients With Syncope: A Multicenter Prospective Cohort Study.",2019-01-30
"NCT01802398",2013-03-01,2013-04-01,"Completed","30529112","Comparison of 30-Day Serious Adverse Clinical Events for Elderly Patients Presenting to the Emergency Department With Near-Syncope Versus Syncope.",2018-12-12
"NCT01802398",2013-03-01,2013-04-01,"Completed","30361153","Recurrent syncope is not an independent risk predictor for future syncopal events or adverse outcomes.",2018-10-27
"NCT01802398",2013-03-01,2013-04-01,"Completed","30255862","Predictors of Clinically Significant Echocardiography Findings in Older Adults with Syncope: A Secondary Analysis.",2018-09-27
"NCT01802398",2013-03-01,2013-04-01,"Completed","29275946","ECG Predictors of Cardiac Arrhythmias in Older Adults With Syncope.",2017-12-26
"NCT01826760",2013-04-08,2010-04-01,"Completed","23490369","A model to predict 3-month mortality risk of acute-on-chronic hepatitis B liver failure using artificial neural network.",2013-03-16
"NCT01838148",2013-04-23,2004-05-01,"Recruiting","35220448","Gut microbiota-dependent metabolite trimethylamine N-oxide (TMAO) and cardiovascular risk in patients with suspected functionally relevant coronary artery disease (fCAD).",2022-02-27
"NCT01838148",2013-04-23,2004-05-01,"Recruiting","35112976","Soluble urokinase plasminogen activator receptor and functionally relevant coronary artery disease: a prospective cohort study.",2022-02-03
"NCT01838148",2013-04-23,2004-05-01,"Recruiting","31905377","Using High-Sensitivity Cardiac Troponin for the Exclusion of Inducible Myocardial Ischemia in Symptomatic Patients: A Cohort Study.",2020-01-07
"NCT01838148",2013-04-23,2004-05-01,"Recruiting","29667014","Automatically computed ECG algorithm for the quantification of myocardial scar and the prediction of mortality.",2018-04-19
"NCT01838148",2013-04-23,2004-05-01,"Recruiting","29107010","Combining high-sensitivity cardiac troponin and B-type natriuretic peptide in the detection of inducible myocardial ischemia.",2017-11-07
"NCT01838148",2013-04-23,2004-05-01,"Recruiting","26708172","Direct comparison of cardiac troponin I and cardiac troponin T in the detection of exercise-induced myocardial ischemia.",2015-12-29
"NCT01838148",2013-04-23,2004-05-01,"Recruiting","36714921","Serum neurofilament light chain in functionally relevant coronary artery disease and adverse cardiovascular outcomes.",2023-01-30
"NCT01873287",2013-06-10,2013-08-01,"Completed","32499388","Parent-Child Agreement on Postconcussion Symptoms in the Acute Postinjury Period.",2020-06-06
"NCT01873287",2013-06-10,2013-08-01,"Completed","31316452","The Stability of Retrospective Pre-injury Symptom Ratings Following Pediatric Concussion.",2019-07-19
"NCT01873287",2013-06-10,2013-08-01,"Completed","23906960","Predicting and preventing postconcussive problems in paediatrics (5P) study: protocol for a prospective multicentre clinical prediction rule derivation study in children with concussion.",2013-08-03
"NCT01891240",2013-07-03,2013-07-01,"Unknown status","24314209","A multi-centre phase IIa clinical study of predictive testing for preeclampsia: improved pregnancy outcomes via early detection (IMPROvED).",2013-12-10
"NCT01902407",2013-07-18,2011-03-01,"Enrolling by invitation","28356179","Upper Airway Reflexes are Preserved During Dexmedetomidine Sedation in Children With Down Syndrome and Obstructive Sleep Apnea.",2017-03-31
"NCT01915615",2013-08-05,2013-11-01,"Active, not recruiting","26299218","Hypertrophic Cardiomyopathy Registry: The rationale and design of an international, observational study of hypertrophic cardiomyopathy.",2015-08-25
"NCT01962506",2013-10-14,2012-12-01,"Unknown status","26169889","Ultra-Sensitive Copeptin and Cardiac Troponin in Diagnosing Non-ST-Segment Elevation Acute Coronary Syndromes--The COPACS Study.",2015-07-15
"NCT01970969",2013-10-28,2013-09-01,"Completed","29534064","Validation of a genetic risk score for atrial fibrillation: A prospective multicenter cohort study.",2018-03-14
"NCT01987921",2013-11-20,2014-01-01,"Completed","25882434","Assessment of Worldwide Acute Kidney Injury, Renal Angina and Epidemiology in critically ill children (AWARE): study protocol for a prospective observational study.",2015-04-18
"NCT01987921",2013-11-20,2014-01-01,"Completed","26719818","Assessment of Worldwide Acute Kidney Injury, Renal Angina and Epidemiology in Critically Ill Children (AWARE): A Prospective Study to Improve Diagnostic Precision.",2016-01-01
"NCT01987921",2013-11-20,2014-01-01,"Completed","34331019","Acute kidney injury in critically Ill children and young adults with suspected SARS-CoV2 infection.",2021-07-31
"NCT01987921",2013-11-20,2014-01-01,"Completed","32620676","Weight as a Risk Factor for Mortality in Critically Ill Patients.",2020-07-05
"NCT01987921",2013-11-20,2014-01-01,"Completed","27959707","Epidemiology of Acute Kidney Injury in Critically Ill Children and Young Adults.",2016-12-14
"NCT01987921",2013-11-20,2014-01-01,"Completed","36821787","Impact of the Magnitude and Timing of Fluid Overload on Outcomes in Critically Ill Children: A Report From the Multicenter International Assessment of Worldwide Acute Kidney Injury, Renal Angina, and Epidemiology (AWARE) Study.",2023-02-23
"NCT02022878",2013-12-30,2013-12-01,"Completed","25700748","Coronary computed tomographic prediction rule for time-efficient guidewire crossing through chronic total occlusion: insights from the CT-RECTOR multicenter registry (Computed Tomography Registry of Chronic Total Occlusion Revascularization).",2015-02-22
"NCT02025699",2014-01-01,2014-02-01,"Completed","30086729","Observational multi-centre, prospective study to characterize novel pathogen-and host-related factors in hospitalized patients with lower respiratory tract infections and/or sepsis - the ""TAILORED-Treatment"" study.",2018-08-09
"NCT02039622",2014-01-17,2011-07-01,"Unknown status","33624069","Cardiovascular risk factors during cancer treatment. Prevalence and prognostic relevance: insights from the CARDIOTOX registry.",2021-02-24
"NCT02042209",2014-01-22,2010-05-01,"Completed","31623657","Predicting acute coronary syndrome in males and females with chest pain who call an emergency medical communication centre.",2019-10-19
"NCT02070536",2014-02-25,2014-02-01,"Completed","30183115","Driving pressure and acute respiratory distress syndrome in critically ill patients.",2018-09-06
"NCT02070536",2014-02-25,2014-02-01,"Completed","29861796","Clinical and Biological Predictors of Plasma Levels of Soluble RAGE in Critically Ill Patients: Secondary Analysis of a Prospective Multicenter Observational Study.",2018-06-05
"NCT02086136",2014-03-13,2014-04-01,"Completed","31220387","Integrated Use of Conventional Chest Radiography Cannot Rule Out Acute Aortic Syndromes in Emergency Department Patients at Low Clinical Probability.",2019-06-21
"NCT02086136",2014-03-13,2014-04-01,"Completed","29030346","Diagnostic Accuracy of the Aortic Dissection Detection Risk Score Plus D-Dimer for Acute Aortic Syndromes: The ADvISED Prospective Multicenter Study.",2017-10-15
"NCT02210221",2014-08-06,2014-10-01,"Completed","36264365","High arterial oxygen levels and supplemental oxygen administration in traumatic brain injury: insights from CENTER-TBI and OzENTER-TBI.",2022-10-20
"NCT02210221",2014-08-06,2014-10-01,"Completed","35897070","Clustering identifies endotypes of traumatic brain injury in an intensive care cohort: a CENTER-TBI study.",2022-07-27
"NCT02210221",2014-08-06,2014-10-01,"Completed","35648213","Comparative effectiveness of intracranial hypertension management guided by ventricular versus intraparenchymal pressure monitoring: a CENTER-TBI study.",2022-06-01
"NCT02210221",2014-08-06,2014-10-01,"Completed","35526554","Surgery versus conservative treatment for traumatic acute subdural haematoma: a prospective, multicentre, observational, comparative effectiveness study.",2022-05-08
"NCT02210221",2014-08-06,2014-10-01,"Completed","35153967","Neuropsychological Impairment, Brain Injury Symptoms, and Health-Related Quality of Life After Pediatric TBI in Oslo.",2022-02-14
"NCT02210221",2014-08-06,2014-10-01,"Completed","35112104","Pharmaceutical Venous Thrombosis Prophylaxis in Critically Ill Traumatic Brain Injury Patients.",2022-02-03
"NCT02210221",2014-08-06,2014-10-01,"Completed","35065038","Effect of frailty on 6-month outcome after traumatic brain injury: a multicentre cohort study with external validation.",2022-01-22
