,NCT,PMID,title,prob_adj,match,protocol,biomarker,mutivariable,other
18,NCT05218837,34263970,Factors leading to satisfaction with counseling for Labor after Cesarean among Latina women in the United States.,0.057594409,,,,,
19,NCT05218837,34490653,Predictors of successful vaginal birth after cesarean without an epidural among women with no prior vaginal delivery.,0.096552958,,,,,
20,NCT05204095,34513804,Application of Surgical Decision Model for Patients With Childhood Cataract: A Study Based on Real World Data.,0.063248577,,,,,
21,NCT05202626,32776391,MRI-Based Deep-Learning Model for Distant Metastasis-Free Survival in Locoregionally Advanced Nasopharyngeal Carcinoma.,0.075782449,,,,,
22,NCT05202626,35471254,Deep learning signatures reveal multiscale intratumor heterogeneity associated with biological functions and survival in recurrent nasopharyngeal carcinoma.,0.079595698,,,,,
23,NCT05194787,35183766,Applications of artificial intelligence to aid early detection of dementia: A scoping review on current capabilities and future directions.,0.081360558,,,,,
24,NCT05151939,33783691,Digital Cholangioscopic Interpretation: When North Meets the South.,0.096169521,,,,,
25,NCT05135377,34091572,The Pediatric Emergency Research Network: A Decade of Global Research Cooperation in Pediatric Emergency Care.,0.193475779,,,,,
26,NCT05135377,34218513,The Pediatric Emergency Research Network (PERN): A decade of global research cooperation in paediatric emergency care.,0.186415921,,,,,
27,NCT05132465,35502192,The Liverpool Heart And bRain Project (L-HARP): Protocol for an Observational Cohort Study of Cardiovascular Risk and Outcomes Following Stroke.,0.055416576,,,,,
28,NCT05118126,35679462,Developing and validating a mortality prediction model for ICH in ITP: a nationwide representative multicenter study.,0.334650517,,,,,
29,NCT05116423,35679462,Developing and validating a mortality prediction model for ICH in ITP: a nationwide representative multicenter study.,0.19058365,,,,,
30,NCT05078697,32631269,Effects of pre-pregnancy body mass index and gestational weight gain on maternal and infant complications.,0.09762248,,,,,
31,NCT05074264,35869839,"Incidence and Clearance of Anal Human Papillomavirus Infection in 16 164 Individuals, According to Human Immunodeficiency Virus Status, Sex, and Male Sexuality: An International Pooled Analysis of 34 Longitudinal Studies.",0.063405289,,,,,
32,NCT05041777,35835136,"Optical coherence tomography versus punch biopsy for diagnosis of basal cell carcinoma: a multicentre, randomised, non-inferiority trial.",0.627233107,,,,,
33,NCT05041777,36038116,Deep Learning to Predict Geographic Atrophy Area and Growth Rate from Multimodal Imaging.,0.077826819,,,,,
34,NCT05041777,36049213,Normative Data and Conversion Equation for Spectral-Domain Optical Coherence Tomography in an International Healthy Control Cohort.,0.318136023,,,,,
35,NCT05023200,32745638,Route and duration of antibiotic therapy in acute cellulitis: A systematic review and meta-analysis of the effectiveness and harms of antibiotic treatment.,0.543886868,,,,,
36,NCT05020106,35077762,Exploring the dual character of metformin in Alzheimer's disease.,0.055215594,,,,,
37,NCT05020106,35109911,Detection of plasma Aβ seeding activity by a newly developed analyzer for diagnosis of Alzheimer's disease.,0.984280314,,,,,
38,NCT05020106,35245406,"""Exceptions that prove the rule""-Why have clinical trials failed to show efficacy of risk factor interventions suggested by observational studies of the dementia-Alzheimer's disease syndrome?",0.119243772,,,,,
39,NCT05020106,35694928,Demonstration of Clinical Meaningfulness of the Integrated Alzheimer's Disease Rating Scale (iADRS): Association Between Change in iADRS Scores and Patient and Caregiver Health Outcomes.,0.182195172,,,,,
40,NCT05020106,35752392,MicroRNA-29c-3p in dual-labeled exosome is a potential diagnostic marker of subjective cognitive decline.,0.398438102,,,,,
41,NCT05020106,35811516,A Comparison of Operational Definitions for Mild Cognitive Impairment.,0.142253446,,,,,
42,NCT05020106,32955960,Brain amyloid and vascular risk are related to distinct white matter hyperintensity patterns.,0.056813522,,,,,
43,NCT05020106,34432056,B vitamins and prevention of cognitive decline and incident dementia: a systematic review and meta-analysis.,0.117463047,,,,,
44,NCT05020106,35209952,"Serum Thioredoxin-80 is associated with age, ApoE4, and neuropathological biomarkers in Alzheimer's disease: a potential early sign of AD.",0.608499122,,,,,
45,NCT05020106,35593357,Amyloid-beta Targeted Therapeutic Approaches for Alzheimer's Disease: Long Road Ahead.,0.078511645,,,,,
46,NCT05020106,36125835,High frequency repetitive transcranial magnetic stimulation improves cognitive performance parameters in patients with Alzheimer's disease - an exploratory pilot study.,0.143233343,,,,,
47,NCT05020106,27802225,Urine Formaldehyde Predicts Cognitive Impairment in Post-Stroke Dementia and Alzheimer's Disease.,0.414247062,,,,,
48,NCT05020106,30244387,Amyloid burden identifies neuropsychological phenotypes at increased risk of progression to Alzheimer's disease in mild cognitive impairment patients.,0.055897478,,,,,
49,NCT05020106,31658058,Concentration-Dependent Activity of Hydromethylthionine on Cognitive Decline and Brain Atrophy in Mild to Moderate Alzheimer's Disease.,0.339913104,,,,,
50,NCT05020106,33482999,Advances in Brain Amyloid Imaging.,0.095675836,,,,,
51,NCT05020106,34803659,Utilization of Human Induced Pluripotent Stem Cells-Derived In vitro Models for the Future Study of Sex Differences in Alzheimer's Disease.,0.056653858,,,,,
52,NCT05020106,35550625,β-Amyloid in blood neuronal-derived extracellular vesicles is elevated in cognitively normal adults at risk of Alzheimer's disease and predicts cerebral amyloidosis.,0.058126728,,,,,
53,NCT05020106,29376851,Validation of the Delayed Matching-to-Sample Task 48 (DMS48) in Elderly Chinese.,0.670845102,,,,,
54,NCT05020106,33820861,Improved Accuracy of Amyloid PET Quantification with Adaptive Template-Based Anatomic Standardization.,0.12270134,,,,,
55,NCT05020106,34168021,"Protocol of the Cognitive Health in Ageing Register: Investigational, Observational and Trial Studies in Dementia Research (CHARIOT): Prospective Readiness cOhort (PRO) SubStudy.",0.157984308,,,,,
56,NCT05020106,34511500,The Association of Periodontitis and Alzheimer's Disease: How to Hit Two Birds with One Stone.,0.199767371,,,,,
57,NCT05020106,35543008,Evaluation of Memantine in AAV-AD Rat: A Model of Late-Onset Alzheimer's Disease Predementia.,0.060148189,,,,,
58,NCT05020106,28122529,Monetary costs of Alzheimer's disease in China: protocol for a cluster-randomised observational study.,0.955443471,,,,,
59,NCT05020106,29154277,Potential of Low Dose Leuco-Methylthioninium Bis(Hydromethanesulphonate) (LMTM) Monotherapy for Treatment of Mild Alzheimer's Disease: Cohort Analysis as Modified Primary Outcome in a Phase III Clinical Trial.,0.342507679,,,,,
60,NCT05020106,33436035,Alzheimer's cerebrospinal biomarkers from Lumipulse fully automated immunoassay: concordance with amyloid-beta PET and manual immunoassay in Koreans : CSF AD biomarkers measured by Lumipulse in Koreans.,0.134473807,,,,,
61,NCT05020106,34018654,The Longitudinal Early-onset Alzheimer's Disease Study (LEADS): Framework and methodology.,0.167402626,,,,,
62,NCT05020106,34030620,Biomarkers and Tools for Predicting Alzheimer's Disease in the Preclinical Stage.,0.060950129,,,,,
63,NCT05020106,34958042,The Trajectory of Cerebrospinal Fluid Growth-Associated Protein 43 in the Alzheimer's Disease Continuum: A Longitudinal Study.,0.979897185,,,,,
64,NCT05020106,35065037,Variant-dependent heterogeneity in amyloid β burden in autosomal dominant Alzheimer's disease: cross-sectional and longitudinal analyses of an observational study.,0.075303024,,,,,
65,NCT05020106,35158308,Cerebrospinal fluid p-tau231 as an early indicator of emerging pathology in Alzheimer's disease.,0.059808279,,,,,
66,NCT05020106,35305339,Soluble TREM2 in CSF and its association with other biomarkers and cognition in autosomal-dominant Alzheimer's disease: a longitudinal observational study.,0.172668065,,,,,
67,NCT05020106,35310530,A three-range approach enhances the prognostic utility of CSF biomarkers in Alzheimer's disease.,0.134885944,,,,,
68,NCT05020106,35992282,Molecular Pathogenesis and Disease-modifying Therapies of Alzheimer's Disease and Related Disorders.,0.192050137,,,,,
69,NCT05019911,36092968,"Development and Validation of a Multivariable Prediction Model to Identify Acute Exacerbation of COPD and Its Severity for COPD Management in China (DETECT Study): A Multicenter, Observational, Cross-Sectional Study.",0.590347626,,,,,
70,NCT05018104,35568510,Development and internal validation of a multivariable risk prediction model for severe rebound pain after foot and ankle surgery involving single-shot popliteal sciatic nerve block.,0.598420731,,,,,
71,NCT05010330,33628633,Homologous recombination repair rathway and RAD54L in early-stage lung adenocarcinoma.,0.070149257,,,,,
72,NCT05010330,33778001,Comprehensive Analysis of Ferroptosis Regulators in Lung Adenocarcinomas Identifies Prognostic and Immunotherapy-Related Biomarkers.,0.061403759,,,,,
73,NCT05010330,34517527,A seven-gene prognostic model related to immune checkpoint PD-1 revealing overall survival in patients with lung adenocarcinoma.,0.056414548,,,,,
74,NCT05010330,35141229,"A Prognostic Risk Score Based on Hypoxia-, Immunity-, and Epithelialto-Mesenchymal Transition-Related Genes for the Prognosis and Immunotherapy Response of Lung Adenocarcinoma.",0.074110387,,,,,
75,NCT05010330,35141229,"A Prognostic Risk Score Based on Hypoxia-, Immunity-, and Epithelialto-Mesenchymal Transition-Related Genes for the Prognosis and Immunotherapy Response of Lung Adenocarcinoma.",0.074110387,,,,,
76,NCT05010330,35127727,Prognosis and Immunotherapy Response With a Novel Golgi Apparatus Signature-Based Formula in Lung Adenocarcinoma.,0.064126693,,,,,
77,NCT05010330,35280459,P2RY14 downregulation in lung adenocarcinoma: a potential therapeutic target associated with immune infiltration.,0.09128182,,,,,
78,NCT05010330,35398839,A novel classification method for NSCLC based on the background interaction network and the edge-perturbation matrix.,0.35854481,,,,,
79,NCT05008692,33068308,The effect of antiplatelet therapy on survival and cardiac allograft vasculopathy following heart transplantation: A systematic review and meta-analysis.,0.074336844,,,,,
80,NCT05008692,33984316,Rationale and design of the comparison of outcomes and access to care for heart failure (COACH) trial: A stepped wedge cluster randomized trial.,0.078105029,,,,,
81,NCT04996615,32482174,Using the axillary reverse mapping technique to screen breast cancer patients with a high risk of lymphedema.,0.055674951,,,,,
82,NCT04996615,32482174,Using the axillary reverse mapping technique to screen breast cancer patients with a high risk of lymphedema.,0.055674951,,,,,
83,NCT04996615,32482174,Using the axillary reverse mapping technique to screen breast cancer patients with a high risk of lymphedema.,0.055674951,,,,,
84,NCT04990076,35152217,The Risk of Endometrial Malignancy and Other Endometrial Pathology in Women with Abnormal Uterine Bleeding: An Ultrasound-Based Model Development Study by the IETA Group.,0.075365963,,,,,
85,NCT04966962,34473310,An Artificial Intelligence System for the Detection of Bladder Cancer via Cystoscopy: A Multicenter Diagnostic Study.,0.07507046,,,,,
86,NCT04966637,35473597,Effectiveness of home-based pulmonary rehabilitation programs for patients with chronic obstructive pulmonary disease (COPD): systematic review.,0.82158198,,,,,
87,NCT04966637,33428233,Inhaled nitric oxide improves ventilatory efficiency and exercise capacity in patients with mild COPD: A randomized-control cross-over trial.,0.312158527,,,,,
88,NCT04966637,33117559,A feasibility pragmatic clinical trial of a primary care network exercise and education program for people with COPD.,0.312951665,,,,,
89,NCT04966637,35568904,Effectiveness of remote home monitoring for patients with Chronic Obstructive Pulmonary Disease (COPD): systematic review.,0.824663601,,,,,
90,NCT04955080,32616320,Predictors of patient adherence to COPD self-management exacerbation action plans.,0.069699171,,,,,
91,NCT04918992,32729045,Multiparametric MRI and Whole Slide Image-Based Pretreatment Prediction of Pathological Response to Neoadjuvant Chemoradiotherapy in Rectal Cancer: A Multicenter Radiopathomic Study.,0.063711324,,,,,
92,NCT04918992,34952679,Development and validation of a radiopathomics model to predict pathological complete response to neoadjuvant chemoradiotherapy in locally advanced rectal cancer: a multicentre observational study.,0.776329553,,,,,
93,NCT04918992,34952679,Development and validation of a radiopathomics model to predict pathological complete response to neoadjuvant chemoradiotherapy in locally advanced rectal cancer: a multicentre observational study.,0.776329553,,,,,
94,NCT04918992,34952679,Development and validation of a radiopathomics model to predict pathological complete response to neoadjuvant chemoradiotherapy in locally advanced rectal cancer: a multicentre observational study.,0.776329553,,,,,
95,NCT04917653,35727618,Continuous mHealth Patch Monitoring for the Algorithm-Based Detection of Atrial Fibrillation: Feasibility and Diagnostic Accuracy Study.,0.30116019,,,,,
96,NCT04917653,33629410,Necklace-embedded electrocardiogram for the detection and diagnosis of atrial fibrillation.,0.057468144,,,,,
97,NCT04917653,34677135,"Automatic Mobile Health Arrhythmia Monitoring for the Detection of Atrial Fibrillation: Prospective Feasibility, Accuracy, and User Experience Study.",0.14823679,,,,,
98,NCT04915378,31751183,Right-to-left shunts in lowlanders with COPD traveling to altitude: a randomized controlled trial with dexamethasone.,0.167163506,,,,,
99,NCT04915378,33693009,Effect of High-Flow Oxygen on Exercise Performance in COPD Patients. Randomized Trial.,0.127692288,,,,,
100,NCT04889729,32410281,Development of a core outcome set for myelodysplastic syndromes - a Delphi study from the EUMDS Registry Group.,0.126210032,,,,,
101,NCT04889729,33903952,Genome-wide DNA methylation analysis pre- and post-lenalidomide treatment in patients with myelodysplastic syndrome with isolated deletion (5q).,0.050630392,,,,,
102,NCT04889729,34088518,Targeting health-related quality of life in patients with myelodysplastic syndromes - Current knowledge and lessons to be learned.,0.107394873,,,,,
103,NCT04889729,36153475,The ABNL-MARRO 001 study: a phase 1-2 study of randomly allocated active myeloid target compound combinations in MDS/MPN overlap syndromes.,0.581465443,,,,,
104,NCT04889729,32647792,Controversies on the Consequences of Iron Overload and Chelation in MDS.,0.190623502,,,,,
105,NCT04889729,33753228,The EORTC QLU-C10D was more efficient in detecting clinical known group differences in myelodysplastic syndromes than the EQ-5D-3L.,0.955637484,,,,,
106,NCT04889729,35710702,"Impact of Lenalidomide Treatment on Overall Survival in Patients With Lower-Risk, Transfusion-Dependent Myelodysplastic Syndromes.",0.183607724,,,,,
107,NCT04867408,32715989,The use of 5-aminosalicylate for patients with Crohn's disease in a prospective European inception cohort with 5 years follow-up - an Epi-IBD study.,0.056235601,,,,,
108,NCT04867408,33622683,Ferric maltol Real-world Effectiveness Study in Hospital practice (FRESH): clinical characteristics and outcomes of patients with inflammatory bowel disease receiving ferric maltol for iron-deficiency anaemia in the UK.,0.560795409,,,,,
109,NCT04867408,33753421,Anti-SARS-CoV-2 antibody responses are attenuated in patients with IBD treated with infliximab.,0.150830357,,,,,
110,NCT04867408,35123676,"COVID-19 vaccine-induced antibody responses in immunosuppressed patients with inflammatory bowel disease (VIP): a multicentre, prospective, case-control study.",0.324821579,,,,,
111,NCT04867408,32587670,Practice pattern variability in the management of acute severe colitis: a UK provider survey.,0.130050495,,,,,
112,NCT04867408,33508241,SARS-CoV-2 vaccination for patients with inflammatory bowel disease: a British Society of Gastroenterology Inflammatory Bowel Disease section and IBD Clinical Research Group position statement.,0.168807236,,,,,
113,NCT04867408,35902214,"Vaccine escape, increased breakthrough and reinfection in infliximab-treated patients with IBD during the Omicron wave of the SARS-CoV-2 pandemic.",0.122363078,,,,,
114,NCT04867408,36088954,"COVID-19 vaccine-induced antibody and T-cell responses in immunosuppressed patients with inflammatory bowel disease after the third vaccine dose (VIP): a multicentre, prospective, case-control study.",0.132868315,,,,,
115,NCT04864223,35864487,The Lumbar Stenosis Prognostic Subgroups for Personalizing Care and Treatment (PROSPECTS) study: protocol for an inception cohort study.,0.646449866,,,,,
116,NCT04856748,31204291,What Is the Required Certainty of Evidence for the Implementation of Novel Techniques for the Treatment of Benign Prostatic Obstruction?,0.09962509,,,,,
117,NCT04856748,35985933,Understanding Treatment Response in Individual Profiles of Men with Prostatic Enlargement at Risk of Progression.,0.076554748,,,,,
118,NCT04844723,31834659,Airway management and perioperative adverse events in children with mucopolysaccharidoses and mucolipidoses: A retrospective cohort study.,0.0714203,,,,,
119,NCT04824677,35967328,"Multiplex protein profiling of bronchial aspirates reveals disease-, mortality- and respiratory sequelae-associated signatures in critically ill patients with ARDS secondary to SARS-CoV-2 infection.",0.373631854,,,,,
120,NCT04824677,34048985,Circulating microRNA profiles predict the severity of COVID-19 in hospitalized patients.,0.07420054,,,,,
121,NCT04824378,32482174,Using the axillary reverse mapping technique to screen breast cancer patients with a high risk of lymphedema.,0.059847679,,,,,
122,NCT04824378,32482174,Using the axillary reverse mapping technique to screen breast cancer patients with a high risk of lymphedema.,0.059847679,,,,,
123,NCT04824378,32482174,Using the axillary reverse mapping technique to screen breast cancer patients with a high risk of lymphedema.,0.059847679,,,,,
124,NCT04817046,35053989,Segmentectomy and Wedge Resection for Elderly Patients with Stage I Non-Small Cell Lung Cancer: A Systematic Review and Meta-Analysis.,0.074234824,,,,,
125,NCT04817046,33783517,Assessment of an Exhaled Breath Test Using High-Pressure Photon Ionization Time-of-Flight Mass Spectrometry to Detect Lung Cancer.,0.196275118,,,,,
126,NCT04798456,36097353,Multimodal prediction of residual consciousness in the intensive care unit: the CONNECT-ME study.,0.361448946,,,,,
127,NCT04780373,32994259,Serial measurements in COVID-19-induced acute respiratory disease to unravel heterogeneity of the disease course: design of the Maastricht Intensive Care COVID cohort (MaastrICCht).,0.057382477,,,,,
128,NCT04773938,31575534,Prompt closure versus gradual weaning of extraventricular drainage for hydrocephalus in adult patients with aneurysmal subarachnoid haemorrhage: a systematic review protocol with meta-analysis and trial sequential analysis.,0.057280879,,,,,
129,NCT04773938,35105647,Endoscopic third ventriculostomy for adults with hydrocephalus: creating a prognostic model for success: protocol for a retrospective multicentre study (Nordic ETV).,0.49013353,,,,,
130,NCT04759209,25556173,Subclinical Rejection Phenotypes at 1 Year Post-Transplant and Outcome of Kidney Allografts.,0.985252458,,,,,
131,NCT04759209,26371598,The Dutch Transplantation in Vasculitis (DUTRAVAS) Study: Outcome of Renal Transplantation in Antineutrophil Cytoplasmic Antibody-associated Glomerulonephritis.,0.160363652,,,,,
132,NCT04759209,27171580,A new method of modelling early plasma creatinine changes predicts 1-year graft function after kidney transplantation.,0.077463478,,,,,
133,NCT04759209,30028786,A 2018 Reference Guide to the Banff Classification of Renal Allograft Pathology.,0.783542726,,,,,
134,NCT04759209,30872323,Archetype Analysis Identifies Distinct Profiles in Renal Transplant Recipients with Transplant Glomerulopathy Associated with Allograft Survival.,0.736838642,,,,,
135,NCT04759209,32359820,Association of HLA Typing and Alloimmunity With Posttransplantation Membranous Nephropathy: A Multicenter Case Series.,0.729875422,,,,,
136,NCT04759209,34922989,"Thirty years of the International Banff Classification for Allograft Pathology: the past, present, and future of kidney transplant diagnostics.",0.810968791,,,,,
137,NCT04759209,35395951,"Safety, tolerability, and efficacy of monoclonal CD38 antibody felzartamab in late antibody-mediated renal allograft rejection: study protocol for a phase 2 trial.",0.491989052,,,,,
138,NCT04759209,35669975,Proposed Definitions of T Cell-Mediated Rejection and Tubulointerstitial Inflammation as Clinical Trial Endpoints in Kidney Transplantation.,0.924608011,,,,,
139,NCT04755959,31976865,Oral Anticoagulation for Patients With Atrial Fibrillation on Long-Term Hemodialysis.,0.142234134,,,,,
140,NCT04755959,33314221,Type of atrial fibrillation and outcomes in patients without oral anticoagulants.,0.069214971,,,,,
141,NCT04755959,31696252,Comparison of continuous 24-h and 14-day monitoring for detection of otherwise unknown atrial fibrillation: a registry to identify Japanese concealed atrial fibrillation (REAL-AF)-based study.,0.064671136,,,,,
142,NCT04755959,32347184,A Real-World Observational Study of Hospitalization and Health Care Costs Among Nonvalvular Atrial Fibrillation Patients Prescribed Oral Anticoagulants in the U.S. Medicare Population.,0.071317639,,,,,
143,NCT04755959,34223913,Anticoagulation in special patient populations with atrial fibrillation.,0.14043852,,,,,
144,NCT04713852,33634416,Multicenter Assessment of CT Pneumonia Analysis Prototype for Predicting Disease Severity and Patient Outcome.,0.074699489,,,,,
145,NCT04713852,33725290,Toxic Metabolic Encephalopathy in Hospitalized Patients with COVID-19.,0.055368169,,,,,
146,NCT04713852,33888132,Safety profile of enhanced thromboprophylaxis strategies for critically ill COVID-19 patients during the first wave of the pandemic: observational report from 28 European intensive care units.,0.228712911,,,,,
147,NCT04713852,34048985,Circulating microRNA profiles predict the severity of COVID-19 in hospitalized patients.,0.26260119,,,,,
148,NCT04713852,34387851,Clinical characteristics and risk factors of COVID-19 patients with chronic hepatitis B: a multi-center retrospective cohort study.,0.145588256,,,,,
149,NCT04713852,35135824,The CCEDRRN COVID-19 Mortality Score to predict death among nonpalliative patients with COVID-19 presenting to emergency departments: a derivation and validation study.,0.366094096,,,,,
150,NCT04713852,36028857,"Thrombotic and bleeding complications in patients with chronic lymphocytic leukemia and severe COVID-19: a study of ERIC, the European Research Initiative on CLL.",0.130507654,,,,,
151,NCT04713852,32918985,Predicting intensive care unit admission and death for COVID-19 patients in the emergency department using early warning scores.,0.127508585,,,,,
152,NCT04713852,33746189,"Clinical Effect of Traditional Chinese Medicine Shenhuang Granule in Critically Ill Patients with COVID-19: A Single-Centered, Retrospective, Observational Study.",0.25026652,,,,,
153,NCT04713852,34263580,Lung ultrasound predicts non-invasive ventilation outcome in COVID-19 acute respiratory failure: a pilot study.,0.10140255,,,,,
154,NCT04713852,34559819,eARDS: A multi-center validation of an interpretable machine learning algorithm of early onset Acute Respiratory Distress Syndrome (ARDS) among critically ill adults with COVID-19.,0.057233596,,,,,
155,NCT04713852,34636804,Differences and Similarities Among COVID-19 Patients Treated in Seven ICUs in Three Countries Within One Region: An Observational Cohort Study.,0.366237711,,,,,
156,NCT04710173,32496416,Prognosis Value of Early Veno Arterial PCO2 Difference in Patients Under Peripheral Veno Arterial Extracorporeal Membrane Oxygenation.,0.096100433,,,,,
157,NCT04710173,32718277,Risk factor analysis of nosocomial lower respiratory tract infection in influenza-related acute respiratory distress syndrome.,0.058729467,,,,,
158,NCT04710173,34127027,Extracorporeal membrane oxygenation for COVID-19: a systematic review and meta-analysis.,0.073976228,,,,,
159,NCT04710173,35253546,Lung transplantation for severe COVID-19-related ARDS.,0.101938412,,,,,
160,NCT04710173,35627617,Efficacy and Safety of Extracorporeal Membrane Oxygenation in Patients under Mechanical Ventilation with COVID-19 and Severe Acute Respiratory Distress Syndrome: A Health Technology Assessment.,0.080734735,,,,,
161,NCT04710173,36228638,Prognostic factors associated with mortality among patients receiving venovenous extracorporeal membrane oxygenation for COVID-19: a systematic review and meta-analysis.,0.180026388,,,,,
162,NCT04710173,34559819,eARDS: A multi-center validation of an interpretable machine learning algorithm of early onset Acute Respiratory Distress Syndrome (ARDS) among critically ill adults with COVID-19.,0.056186764,,,,,
163,NCT04710173,35596885,Presence of comorbidities alters management and worsens outcome of patients with acute respiratory distress syndrome: insights from the LUNG SAFE study.,0.195198867,,,,,
164,NCT04707859,31422146,Prediction of Coronary Revascularization in Stable Angina: Comparison of FFRCT With CMR Stress Perfusion Imaging.,0.059633949,,,,,
165,NCT04707859,34032468,Polygenic Risk Score-Enhanced Risk Stratification of Coronary Artery Disease in Patients With Stable Chest Pain.,0.087919227,,,,,
166,NCT04707859,35926903,The PROMISE Minimal Risk Score Improves Risk Classification of Symptomatic Patients With Suspected CAD.,0.131832646,,,,,
167,NCT04689711,33725290,Toxic Metabolic Encephalopathy in Hospitalized Patients with COVID-19.,0.066477124,,,,,
168,NCT04682886,29730602,Deep learning Radiomics of shear wave elastography significantly improved diagnostic performance for assessing liver fibrosis in chronic hepatitis B: a prospective multicentre study.,0.586602015,,,,,
169,NCT04682886,32485640,Improving B-mode ultrasound diagnostic performance for focal liver lesions using deep learning: A multicentre study.,0.955117415,,,,,
170,NCT04682886,30040048,Liver Fibrosis with Two-dimensional US Shear-Wave Elastography in Participants with Chronic Hepatitis B: A Prospective Multicenter Study.,0.175315686,,,,,
171,NCT04682886,35229196,Comparison between spleen and liver stiffness measurements by sound touch elastography for diagnosing cirrhosis at different aminotransferase levels: a prospective multicenter study.,0.905735733,,,,,
172,NCT04682886,33945596,Contrast-enhanced ultrasound for the assessment of focal nodular hyperplasia - results of a multicentre study.,0.076240844,,,,,
173,NCT04678375,34325853,Application of Comprehensive Artificial intelligence Retinal Expert (CARE) system: a national real-world evidence study.,0.06999895,,,,,
174,NCT04670094,32479771,A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: An observational cohort study.,0.092254276,,,,,
175,NCT04670094,34187698,COVID-19 is associated with oropharyngeal dysphagia and malnutrition in hospitalized patients during the spring 2020 wave of the pandemic.,0.30420098,,,,,
176,NCT04670094,35286906,Severity and mortality of COVID-19 in patients with systemic sclerosis: a Brazilian multicenter study.,0.313738141,,,,,
177,NCT04670094,35433315,Association of latitude and altitude with adverse outcomes in patients with COVID-19: The VIRUS registry.,0.402053363,,,,,
178,NCT04670094,35894609,Association of Renin Angiotensin Aldosterone System Inhibitors and Outcomes of Hospitalized Patients With COVID-19.,0.403688587,,,,,
179,NCT04670094,33455077,Risk Factors for COVID-19 and Rheumatic Disease Flare in a US Cohort of Latino Patients.,0.079834424,,,,,
180,NCT04670094,33591234,Characteristics and laboratory findings on admission to the emergency department among 2873 hospitalized patients with COVID-19: the impact of adjusted laboratory tests in multicenter studies. A multicenter study in Spain (BIOCOVID-Spain study).,0.315756888,,,,,
181,NCT04670094,33714594,Vitamin D Status Is Associated With In-Hospital Mortality and Mechanical Ventilation: A Cohort of COVID-19 Hospitalized Patients.,0.186481353,,,,,
182,NCT04670094,34375366,Characteristics and outcomes of acute kidney injury in hospitalized COVID-19 patients: A multicenter study by the Turkish society of nephrology.,0.147780532,,,,,
183,NCT04670094,34648516,"HMG-CoA reductase inhibitors and COVID-19 mortality in Stockholm, Sweden: A registry-based cohort study.",0.182402855,,,,,
184,NCT04670094,35030179,"COVID-19-associated acute kidney injury patients treated with renal replacement therapy in the intensive care unit: A multicenter study in São Paulo, Brazil.",0.380583476,,,,,
185,NCT04670094,32628003,Tocilizumab in patients with severe COVID-19: A single-center observational analysis.,0.129512766,,,,,
186,NCT04670094,32893398,Predictive criteria of severe cases in COVID-19 patients of early stage: A retrospective observational study.,0.069713771,,,,,
